block,reserve UNI,reserve WBTC,price,volume for slippage 5%
10883689,400.095231,0.1325684,0.00033134211489764043,21.057643736842124
10883973,800.0952130153977,0.26510524,0.00033134211489764043,42.11027436923155
10883981,719.1977503328565,0.29501478,0.0004101998092506022,37.852513175413605
10884887,615.7489114881791,0.34472785,0.0005598513348027541,32.40783744674627
10885272,694.6583979909592,0.30567278,0.0004400332319943798,36.56096831531363
10885743,684.1213788212291,0.310395,0.00045371334621178495,36.00638835901202
10886596,1586.1213605651426,0.71964443,0.000453713346211785,83.48007160869179
10886695,1515.8072203416602,0.75312721,0.0004968489395572654,79.77932738640334
10886898,1417.481728473044,0.80552607,0.000568279684894237,74.60430149858121
10887406,1334.8696534503244,0.85552827,0.0006409077229290968,70.25629755001705
10887653,2138.5058269170318,1.3705849,0.0006409077229290968,112.55293825879107
10887669,2020.8086727454124,1.45065153,0.000717856939929492,106.35835119712692
10887742,1951.9045833316766,1.502015,0.0007695125124591045,102.73182017535123
10887764,2062.581965034485,1.42164629,0.0006892556582478558,108.55694552813065
10887863,2164.2523601026282,1.35505238,0.0006261064582763092,113.90801895277036
10887935,2264.2523601026282,1.29537855,0.0005720999005346234,119.17117684750656
10887955,2204.3601480496463,1.33067974,0.0006036580461579052,116.01895516050809
10888023,2152.810446058414,1.36263915,0.0006329582581201514,113.30581295044294
10888109,2560.5749615508803,1.62073706,0.0006329582552109147,134.76710323951966
10888118,1751.5632042551035,1.10866639,0.0006329582554067687,92.18753706605798
10888230,1838.1134718652831,1.05661247,0.0005748352787642481,96.74281430869883
10888398,1753.9682419401645,1.10745514,0.0006313997674068377,92.31411799685088
10888588,1241.2543956410877,0.78372774,0.0006313997700650376,65.32917871795189
10888683,1037.0921960495568,0.65481978,0.0006313997757328701,54.58379979208212
10889205,784.5614956335928,0.49537196,0.0006313997854303946,41.29271029650488
10889234,984.5614956335928,0.62165191,0.0006313997782332018,51.81902608597852
10889337,968.2134094706772,0.63217996,0.0006529345223029013,50.95860049845669
10889574,973.2134094706772,0.62894176,0.0006462526655300365,51.221758393193454
10889820,1023.2134094706772,0.59829582,0.0005847224190596827,53.85333734056201
10889966,1073.2134094706773,0.62753194,0.00058472241817171,56.484916287930446
10890536,1227.701431808608,0.71786455,0.00058472241817171,64.615864832032
10890701,1221.7323197110868,0.72138243,0.0005904586613298331,64.30170103742557
10891336,1014.8913080954985,0.59925137,0.0005904586680563156,53.41533200502636
10892368,964.622383045572,0.63057385,0.0006537002054722273,50.769599107661634
10892647,964.6514789519841,0.63059287,0.0006537002054722273,50.771130471156994
10893344,970.1237829076088,0.62704642,0.000646357125809911,51.059146468821496
10893385,1010.1237829076088,0.6022875,0.000596251182470266,53.16440962671618
10893521,857.1136902456008,0.51105506,0.000596251192596819,45.11124685503171
10894034,872.6978704604797,0.5019558,0.0005751770652713321,45.93146686634111
10894267,967.1359370658927,0.55627441,0.0005751770652713322,50.90189142452061
10894321,980.761599382699,0.56411157,0.0005751770566415501,51.61903154645768
10894360,985.761599382699,0.56698745,0.0005751770512820313,51.88218944119478
10895074,1005.4159374595362,0.55593632,0.0005529416227523986,52.916628287344
10895202,1051.9315222984153,0.53142376,0.0005051885495729484,55.36481696307442
10895514,1069.9134488810284,0.52251853,0.0004883745788469873,56.31123415163324
10895589,1089.5704916834297,0.53211852,0.000488374569669059,57.345815351759484
10895630,759.4294789414045,0.37088605,0.0004883745762898105,39.969972575863494
10895702,4324.5178445708225,2.11198457,0.0004883745762898105,227.60620234583257
10895888,759.4294789414053,0.37088606,0.0004883745894575897,39.96997257586338
10896704,749.5671244298228,0.37578064,0.0005013302047976651,39.45090128578022
10896889,779.5671244298228,0.39082054,0.000501330196916458,41.02984865420126
10897827,848.4298624263391,0.42534351,0.000501330196916458,44.65420328559685
10897895,747.2609823044749,0.3746245,0.0005013302030633223,39.329525384446015
10897908,727.8592358394125,0.36489782,0.0005013302051174457,38.30838083365336
10898867,658.9964978428982,0.33037485,0.0005013302059744176,34.68402620225788
10899003,909.2084709199823,0.45581366,0.0005013301949758399,47.85307741684119
10899779,955.1761816322619,0.43394035,0.0004543039895095132,50.2724306122243
10900356,714.3690514596661,0.32454072,0.00045430400342353554,37.59837112945604
10901142,706.7632494098859,0.32804376,0.00046414943090759337,37.19806575841494
10902167,664.6563554848865,0.30849987,0.0004641494321903237,34.981913446573
10903020,656.536707142019,0.31232669,0.000475718549476989,34.55456353379054
10906498,952.5822369092208,0.45316104,0.000475718549476989,50.13590720574848
10906516,10427.631630915785,4.3689091,0.0004189742459876586,548.8227174166223
10906522,10531.586101148583,4.41246334,0.00041897424543856446,554.2940053236089
10906685,10789.159021400494,4.30743174,0.0003992370240772363,567.8504748105534
10906977,10483.999540103696,4.43318612,0.000422852567194614,551.7894494791417
10907016,34611.19542772662,14.18217961,0.0004097570001479586,1821.6418646171878
10907399,34561.19542772662,14.20275884,0.00041094524261177254,1819.0102856698286
10907476,1130.0868780809176,0.46440383,0.00041094524589882665,59.47825674110095
10907957,1091.6868780809177,0.48078836,0.0004404086644745428,57.45720410952208
10908503,743.9850382170711,0.32765746,0.00044040866841249575,39.157107274582586
10909160,729.5722358947609,0.32130994,0.00044040867263258666,38.39853873130323
10909574,755.4693179635464,0.31032753,0.00041077449821062654,39.76154305071293
10911594,765.4693179635464,0.30628546,0.00040012767698493975,40.28785884018657
10912158,791.3825921374176,0.29628546,0.0003743896605051331,41.651715375653566
10912544,501.7055521666033,0.18783338,0.00037438967774792623,26.405555377189557
