block,reserve ZRX,reserve DAI,price,volume for slippage 5%
10453708,62.09092681902129,25.10349,0.4043020661161987,3.267943516790595
10456629,63.485926819021294,24.553500200667045,0.38675500903785287,3.3413645694221614
10472231,128.12633073310008,49.553500200667045,0.38675500903785287,6.7434910912157875
10494443,128.12133073310008,49.55543987018735,0.3867852416661227,6.743227933321066
10496240,125.31933067489463,50.66677809020723,0.4043013780663079,6.595754246047093
10509472,125.90817935348404,50.904850422433455,0.4043013780663079,6.626746281762323
10518335,128.33174835348404,49.9463325664715,0.38919700859133133,6.754302544920193
10523875,128.83174871548405,49.75306844520202,0.3861863938141382,6.780618353446528
10531975,128.78174871548404,49.77244338663326,0.38648678002187187,6.777986774499169
10543427,128.83878053354564,49.75047716773938,0.38614520380985673,6.780988449133986
10589995,128.83997900304564,49.75001577711882,0.3861380307733734,6.781051526476091
10626008,126.75634235255411,50.57027354829316,0.3989565540447624,6.671386439608128
10629002,124.25164763670625,51.59274875921126,0.4152278842213904,6.539560401931908
10638181,124.20243901117503,51.61325115527434,0.4155574686470567,6.5369704742723655
10648141,115.23313098965063,55.64271844486537,0.4828708372929898,6.06490163103426
10673783,115.03313098965063,55.73975161854568,0.4845538945085352,6.054375315244769
10674936,99.99857541497033,64.14531161793923,0.6414622543546388,5.263082916577389
10675942,109.99857541497033,58.32975245099023,0.5302773443286958,5.78939870605106
10680560,106.43086670757602,60.29092932985565,0.5664797365176769,5.601624563556641
10691911,106.77779815757602,60.09562400694992,0.5628101070061825,5.619884113556637
10694693,109.77779815757602,58.45812761069024,0.5325132093356338,5.777778850398761
10699236,103.92472695510264,61.76041341673399,0.5942802567421284,5.469722471321191
10703829,98.21133379914059,65.36410435049122,0.6655454296565433,5.169017568375821
10703908,92.14785117931324,69.67811369172384,0.7561555999405253,4.849886904174369
10704410,85.22504144340884,75.35508110646387,0.8841894334131967,4.4855284970215195
10706492,94.60004144340884,67.90747350576089,0.7178376718406002,4.9789495496530805
10733234,791.1363470930625,567.9074735057609,0.7178376718406001,41.63875511016124
10734374,817.1885621430624,549.8550025224781,0.6728618436367895,43.00992432331907
10735607,829.1648811376023,541.9364716631317,0.653593132067536,43.640256901979114
10738365,806.9159455983445,556.9241430102759,0.6901885457193505,42.469260294649644
10738837,807.9159455983445,556.2368741979534,0.6884835943991712,42.52189187359704
10739573,830.6183936083445,541.0781834963959,0.6514160866891742,43.71675755833394
10744813,880.6675611744253,510.41522247492196,0.5795776351683164,46.350924272338034
10747598,878.9552336816301,511.41257463609946,0.5818414351934336,46.260801772717286
10748322,845.6115588959201,531.6389840872675,0.6287035441916221,44.5058715208379
10748380,845.6309137183481,531.6268524239894,0.6286748081220891,44.50689019570257
10751193,819.9551959114257,548.3240744570693,0.6687244342022575,43.15553662691707
10758331,820.2503959114257,548.1273298458862,0.6682439076872758,43.1710734690223
10763793,836.2503959114257,537.6708575749938,0.6429543832849115,44.01317873218022
10767627,878.6503959114257,511.7991984840621,0.5824833185822125,46.2447576795488
10792912,978.8723959114257,459.53970938428284,0.469458237155014,51.51959978481182
10798549,939.2886382476928,478.9640299616499,0.50992209471967,49.43624411829978
10800884,1018.6986166390204,441.73094736489287,0.4336228008459364,53.615716665211494
10817810,1016.6986166390204,442.60251366880465,0.43533305389157523,53.510453507316925
10824055,1024.600748237492,439.1991475416197,0.4286539398854878,53.926355170394345
10831637,984.7576586643203,457.0225236177708,0.4640964399684436,51.82935045601687
10842703,958.7955519086458,469.43494087982344,0.4896090099138792,50.46292378466558
10843299,951.5983634961602,472.9960840900944,0.4970543269455749,50.0841243945348
10843884,945.7367280890858,475.9365146887555,0.503244191066167,49.77561726784654
10849449,945.9009221369719,475.8541471343908,0.5030697570939511,49.78425905984079
10856253,978.9009221369719,459.85900354018185,0.4697707328095013,51.52110116510369
10857492,1059.3771241373204,425.0224069661351,0.40120028768059574,55.756690744069374
10869598,1053.3771241373204,427.4506046237288,0.40579066587742363,55.44090127038544
10880758,1031.023023934924,436.7462512795423,0.42360475095181666,54.26436968078542
10882015,1030.023023934924,437.1715431637021,0.4244289040196467,54.21173810183814
10882856,1020.5940331181985,441.22260538968743,0.4323194052405242,53.71547542727376
10885849,1025.5479023381984,439.09765990260314,0.4281590932042104,53.976205386220954
10890358,1030.4119525681983,437.0310924052272,0.4241323980335933,54.23220802990522
10890977,1037.6517260281985,433.990977850631,0.4182433922331636,54.61324873832632
10892415,1046.3817260281985,430.3809477195109,0.41130396012660564,55.07272242253657
10900914,1056.3817260281985,426.31895023984856,0.4035652451531225,55.59903821201033
10905906,1093.3611509108032,411.94188053890974,0.37676652421365947,57.54532373214761
10909733,1143.3611509108032,393.9790547490248,0.344579710824686,60.17690267951616
10918464,1119.7475093978662,402.31242803727645,0.3592885223326964,58.934079441992935
10920586,1116.7475093978662,403.396441192352,0.36122439297837106,58.776184705150854
10922717,1141.8158989152664,394.5659233036497,0.3455600186321545,60.09557362711939
10923579,1141.996086858565,394.50385411749653,0.34545114353474615,60.105057203082424
10923642,1341.4960107305667,463.4213309541744,0.34545114353474615,70.6050531963458
10927756,1293.9585192066895,480.4977486233641,0.37133937563775343,68.10307995824701
10928935,1101.5281101630728,409.04076067539,0.3713393756377535,57.97516369279333
10929146,1092.385738787135,412.47439677492105,0.3775904262837477,57.49398625195454
10936314,1056.9411772559235,426.34836284814503,0.403379461433274,55.62848301346958
10941469,1073.7031047359235,419.71215703516685,0.3909015026443411,56.510689722943425
10949933,1053.6831047359235,427.710691992599,0.4059196641477827,55.45700551241703
