block,reserve COMP,reserve USDC,price,volume for slippage 5%
10274147,7.763065574256993,720,92.74686566961165,0.40858239864510537
10274273,7.6417157317189135,731.467947,95.720381741479,0.4021955648273119
10274277,7.4100729966615635,754.40282,101.80774471990745,0.3900038419295555
10274676,7.550423193063039,740.420978,98.06350704689808,0.39739069437173846
10275217,7.794678391936952,717.286468,92.02258668452345,0.41024623115457626
10275563,7.795704433287248,717.192345,91.99840131670801,0.4103002333309087
10276123,7.387992175645737,756.890272,102.448710556985,0.3888416934550385
10276228,7.577569592583913,738.009605,97.39397256374684,0.39881945224125825
10276794,7.527569592583912,742.9264,98.69405933250006,0.3961878732938908
10277336,7.787623007644588,718.189681,92.22193733505092,0.40987489513918884
10277413,8.022748886815947,697.202712,86.90322006036318,0.4222499414113656
10277787,8.02840865431354,696.712681,86.78091898394672,0.42254782391123946
10278523,8.168518487675167,684.797613,83.8337593326424,0.42992202566711235
10278895,8.239059712356358,678.951949,82.40648480575472,0.43363472170296546
10278923,8.509623430393875,657.427362,77.25692768634892,0.44787491738915186
10279034,1.13822329e-10,0.000001,8785.622371160583,5.990648894736824e-12
10279110,0.002845558338822329,25.000001,8785.622371160583,0.0001497662283590699
10279112,0.03020474306850276,2.361643,78.18781953032735,0.0015897233193948833
10283132,0.030378491474082166,2.348176,77.29732077063073,0.0015988679723201137
10284726,0.0336145906382933,2.122729,63.149036168294586,0.001769188980962802
10288404,2.25364839489748,142.315724,63.14903616829457,0.11861307341565697
10288619,0.03361459063831245,2.12273,63.149065917245004,0.0017691889809638081
10292371,0.03261459063831245,2.188012,67.0869067241867,0.0017165574020164415
10295824,0.017048411639543112,4.191804,245.87651264105318,0.0008972848231338475
10300086,0.019143942698582286,3.734188,195.05846098654155,0.0010075759315043321
10302240,0.019143492915792974,3.734276,195.0676408127851,0.0010075522587259453
10304952,0.018853223209864774,3.791943,201.12969319834397,0.0009922749057823567
10305241,0.017644138956929296,4.052572,229.68374993490136,0.0009286388924699615
10305318,0.016708593037637397,4.280166,256.16555447598705,0.0008793996335598638
10308930,0.014560245174731019,4.9136,337.46684489402986,0.000766328693406898
10316442,0.015863618112874688,4.511005,284.3616738566678,0.0008349272690986696
10322917,0.014977187299410152,4.778794,319.0715255452674,0.0007882730157584283
10325082,0.017501401411843556,4.091323,233.77116516116922,0.0009211263900970289
10326717,0.4345013976808121,101.573898,233.77116516116925,0.022868494614779578
10327698,0.4422847172596925,99.791671,225.62767173663426,0.02327814301366804
10328797,0.4611216371682455,95.726891,207.5957475946264,0.0242695598509603
10332888,0.44268649743081945,99.725316,225.27300150053597,0.023299289338464202
10333242,0.43830863406000226,100.724378,229.80240445414393,0.02306887547684222
10334971,0.4565370301512384,96.714288,211.84324953435026,0.02402826474480202
10338326,0.4328344847645459,102.026417,235.71693243319214,0.022780762356028716
10343008,0.4287231241474886,103.007772,240.26642417487946,0.022564374955130972
10343166,0.4194075096683462,105.3026,251.07466502750478,0.022074079456228746
10343713,0.4143013468669142,106.604334,257.3110968771348,0.021805334045627067
10344190,0.4184527142917738,105.54988,252.23848811362572,0.02202382706798811
10344428,0.4139892046762779,106.691312,257.71520318610266,0.021788905509277756
10345729,0.4249364282567246,103.950762,244.626619625085,0.022365075171406568
10346768,0.42141900498748874,104.82101,248.73346659605912,0.02217994763092046
10348149,1.8245273392864387,453.821009,248.73346604797194,0.09602775469928626
10348369,1.87218941199828,442.301445,236.24823544318087,0.0985362848420146
10348534,1.8819415110570228,440.016308,233.80976795227696,0.0990495532135276
10348997,1.9036372991150319,435.016308,228.5184831176777,0.10019143679552767
10349095,1.9051949646208965,434.66171,228.14552739828954,0.10027341919057364
10349159,1.9030256289617988,435.15869,228.66675223780464,0.1001592436295684
10349276,1.8694529185421134,442.997035,236.96613624560803,0.09839225887063763
10349355,1.873957332607048,441.935394,235.83001934477335,0.09862933329510781
10349477,1.881838967817165,440.089983,233.86165900819952,0.09904415620090345
10349608,1.8897553107271425,438.251917,231.90934535930413,0.09946080582774441
10349906,1.9115642207281704,433.26676,226.655612875489,0.10060864319621943
10350514,1.8715273851377747,442.563352,236.47174789666258,0.09850144132304095
10350555,1.8818172477398707,440.150616,233.8965787079678,0.09904301303894059
10350846,1.8932286362068196,437.505531,231.08964370862503,0.09964361243193798
10351510,1.8647075452488,444.217405,238.22363251108632,0.09814250238151567
10351830,1.8689274122478208,443.217405,237.15067909830043,0.09836460064462216
10351962,1.8783786695765134,440.993968,234.7737307405772,0.0988620352408689
10352290,1.893451123481792,437.493968,231.05638301109656,0.09965532228851526
10352487,1.9030704472561355,435.289197,228.72994408988063,0.10016160248716521
10353337,1.8797788614262518,440.69892,234.4418958225899,0.09893572954875007
10354108,1.8497788614262518,447.86775,242.11961729018594,0.09735678218032917
10354319,1.8708076899898056,442.848423,236.71509657008795,0.09846356263104261
10354829,1.8708466138170698,442.839237,236.7052615267478,0.09846561125352982
10355233,1.8216323447292986,454.839237,249.68772558086678,0.09587538656469996
10355388,1.8231241095998247,454.468182,249.27989246972092,0.0959539005052541
10355535,1.8409742495781745,450.074738,244.47638966331354,0.0968933815567461
10355913,1.8419071514541971,449.847465,244.2291755286593,0.09694248165548425
10356624,1.8526591998063078,447.244528,241.40679950568276,0.09750837893717401
10356903,1.8635679761539083,444.634299,238.5930133429587,0.098082525060732
10358831,1.862988598521068,444.772994,238.7416618400578,0.09805203150110886
10359410,0.4303025700503108,102.731151,238.7416626119354,0.022647503686858417
10359761,0.43218426808721133,102.285204,236.6703546445602,0.022746540425642725
