block,reserve DAI,reserve WBTC,price,volume for slippage 5%
10092360,0.5735883445930637,0.00005829,0.000101623403874,0.030188860241740167
10092378,0.3751922463203493,0.00003813,0.00010162789976060319,0.01974696033265
10092621,156.42112094657784,0.01589675,0.00010162789976060319,8.232690576135667
10102678,156.04247929508585,0.01593544,0.00010212244814352833,8.21276206816242
10104447,155.87961087519216,0.01595214,0.00010233628317671624,8.204190046062763
10112535,153.42879910462503,0.01620772,0.00010563675199561296,8.07519995287501
10115174,153.2200317867688,0.01622987,0.00010592524887729151,8.064212199303597
10115187,153.01183267873205,0.01625202,0.00010621413857661059,8.053254351512209
10115218,152.99109088910024,0.01625423,0.00010624298385964399,8.05216267837369
10115676,152.96340360556377,0.01625719,0.00010628156550387243,8.050705452924404
10118107,1093.8603458542782,0.11625719,0.00010628156550387242,57.57159715022499
10122224,1091.0517582455998,0.11655736,0.00010683027557503143,57.42377674976842
10122228,1088.2577635461216,0.11685751,0.00010738035961187742,57.276724397164344
10122282,1079.7018852827775,0.11778631,0.00010909151091196935,56.82641501488297
10130416,1077.342124881161,0.11804508,0.00010957065288152662,56.70221709900852
10130450,1075.3333270676058,0.11826626,0.00010998102357945858,56.59649089829509
10131388,1070.7055106632902,0.11877897,0.0001109352373898008,56.35292161385746
10131631,1051.5386773930152,0.12095052,0.00011502241676916887,55.344140915421804
10133883,1051.5589170466562,0.1209482,0.00011501799665175936,55.345206160350244
10136490,1060.8289882282343,0.11989444,0.00011301957368288381,55.83310464359124
10141298,1138.1125924338905,0.128629,0.0001130195736828838,59.900662759678426
10144093,1639.6128029994854,0.18530834,0.0001130195736828838,86.29541068418348
10145002,2642.792396634518,0.29868727,0.00011301957368288381,139.09433666497443
10147549,2667.8765611728336,0.29588727,0.00011090740640186293,140.41455585120184
10149526,2705.1265793752536,0.29182492,0.00010787847127929838,142.3750831250136
10149564,5056.158597092306,0.54545066,0.0001078784712792984,266.1136103732788
10150072,5051.943933889671,0.54590708,0.00010805881600108867,265.891785994193
10150986,5001.70307819445,0.55140708,0.00011024386521541595,263.2475304312866
10151464,5042.233094368665,0.54698801,0.00010848130178886306,265.38068917729834
10151477,5023.918809734509,0.54898801,0.00010927485709686688,264.4167794597106
10152726,5023.508546752973,0.54903298,0.00010929273333373274,264.39518667120956
10153915,5228.340097004727,0.57141958,0.00010929273333373275,275.175794579196
10154449,5276.199305778323,0.56625178,0.000107321908666312,277.6947003041223
10155415,5282.6477800350995,0.56556264,0.00010706044838678271,278.03409368605753
10156060,5373.666372464501,0.55601146,0.00010346966511525331,282.82454591918395
10156476,5369.177203614166,0.55647774,0.00010364301994454886,282.58827387443034
10156937,5345.325261929711,0.55896833,0.000104571434404762,281.332908522616
10161172,5335.189026402079,0.5600335,0.00010496975781524893,280.79942244221456
10162192,5322.1988204523705,0.56140452,0.00010548356777702684,280.1157273922299
10162362,5313.585169110232,0.56231733,0.00010582635115532757,279.6623773215906
10162821,5296.218742821812,0.56416673,0.0001065225507848668,278.7483548853588
10163111,4356.195393360984,0.46403305,0.00010652255192850279,229.2734417558404
10163193,4350.786885408089,0.46461163,0.00010678795404993067,228.9887834425308
10166443,4400.786885408089,0.45934856,0.00010437873315862788,231.62036238990004
10169513,4370.664232838435,0.46252392,0.00010582462878865981,230.03495962307534
10169925,4431.551831463392,0.45618785,0.0001029408810613769,233.2395700770203
10172108,4412.646120130964,0.45814824,0.00010382619125288082,232.24453263847226
10174512,4342.2463045432105,0.46559844,0.00010722524871812387,228.53927918648515
10174957,4397.185183847257,0.45979844,0.00010456653990580985,231.43079914985537
10175667,4386.8425834062,0.46088575,0.00010506092736114125,230.88645175822057
10176322,4379.676938524063,0.46164208,0.00010540550969395745,230.50931255389787
10176815,4374.257192522365,0.46221578,0.00010566726181307795,230.22406276433503
10179706,4498.2385446953285,0.47531655,0.00010566726181307795,236.7493970892274
10179803,4509.788236204289,0.4741029,0.00010512753042236717,237.35727558969938
10179907,2949.2737448813004,0.31004987,0.00010512753200279094,155.22493394112098
10180850,2939.8152411794813,0.31105042,0.00010580611177293021,154.7271179568147
10181661,2963.6304118662133,0.30855832,0.00010411497964272111,155.9805479929587
10183078,3041.8852775410437,0.30064362,0.00009883463463258221,160.0992251337393
10187223,2891.1547226719836,0.31636486,0.00010942508801729503,152.16603803536782
10187304,2916.8782226719836,0.31358319,0.00010750643875449301,153.51990645642036
10187800,2929.364651905001,0.31225054,0.00010659326410487671,154.17708694236853
10191530,2941.131895847504,0.31100499,0.00010574329918324935,154.796415570921
10194442,3178.9632307334864,0.33615406,0.00010574329918324935,167.3138542491306
10194485,4134.003888439744,0.43714321,0.00010574329918324936,217.57915202314416
10195975,4198.560303646158,0.43044162,0.00010252124272841606,220.97685808664028
10198162,4188.9511823263065,0.43143199,0.00010299284265241951,220.47111485927962
10199090,4160.101873745014,0.43443287,0.00010442842103020764,218.95273019710567
10199373,4861.525195838639,0.5076814,0.00010442842103020763,255.86974714940152
10199628,4891.525195838639,0.50457705,0.00010315331717584899,257.44869451782324
10199651,4921.525195838639,0.50151049,0.00010190143706346331,259.02764188624406
10204439,5672.250624297086,0.57801049,0.00010190143706346333,298.5395065419516
10206497,5631.023066726804,0.58225513,0.00010340130436340988,296.3696350908849
10207446,5640.629136592256,0.58126652,0.00010304994459379895,296.87521771538195
10208144,5652.333177588975,0.58006652,0.00010262426183578756,297.49121987310355
10208516,5632.969637254521,0.58206652,0.00010333208901933583,296.47208617129036
10209010,5647.029954057294,0.58062927,0.00010282029221092192,297.2121028451211
