block,reserve LINK,reserve USDC,price,volume for slippage 5%
10099816,100,405,4.05,5.26315789473685
10101669,99.9830728210876,405.068773,4.051373513242996,5.262266990583555
10105512,98.76096026512424,410.096359,4.152413645018179,5.197945277111799
10111248,122.84333946642904,510.096358,4.1524136368777285,6.465438919285745
10111914,127.29774018774432,492.298753,3.86730158975278,6.699881062512873
10116482,122.29774018774432,512.486375,4.190481150455118,6.436723167776023
10118180,123.38749571605734,517.052974,4.19048114235057,6.4940787218977505
10118922,223.38749571605734,936.101088,4.190481141298331,11.757236616634572
10119004,225.08749571605733,929.052124,4.127515484787204,11.846710300845103
10120049,227.64757938605734,918.635164,4.03533903798787,11.981451546634617
10121741,228.44757938605736,915.427816,4.007167939621734,12.023556809792495
10123022,229.44757938605736,911.45003,3.9723671630740474,12.076188388739865
10129652,232.44657938605735,899.725428,3.870676137185469,12.234030494003008
10130660,230.37238765446634,907.850614,3.940796131182517,12.124862508129809
10131895,233.25978765446635,896.646107,3.8439806364233884,12.276830929182438
10132419,233.00079406170005,897.645779,3.8525438619848558,12.263199687457899
10134679,232.47959303587496,899.664286,3.869863475979024,12.235768054519752
10144333,234.47959303587496,892.013401,3.8042261565317697,12.341031212414464
10145463,233.47959303587496,895.845417,3.8369324074603393,12.288399633467122
10156976,26.197557203964717,100.518257,3.8369324367688624,1.3788188002086699
10160363,25.64214099754176,102.702063,4.005206234917972,1.3495863682916749
10176607,25.08020788921092,105.010072,4.186969759735267,1.320010941537415
10178029,25.075207889210922,105.031075,4.188642242331781,1.3197477836426792
10185201,23.946732195588115,109.995496,4.593340548580791,1.2603543260835863
10194097,57.94673219558811,266.169074,4.593340537333447,3.0498280102941138
10194569,58.04410622909729,265.72389,4.577965055594113,3.054952959426174
10194847,58.78709310112406,262.375459,4.463147353597981,3.0940575316381143
10242955,108.78709310112406,485.532826,4.463147347348168,5.725636479006511
10246273,113.34921103032568,466.047208,4.111605222159974,5.96574794896452
10266292,114.34921103032568,461.98368,4.040112527558068,6.01837952791189
10269542,117.39921103032567,450.016542,3.8332160672166284,6.178905843701358
10271912,425.39921103032566,1630.64709,3.8332160655647174,22.38943215949081
10272333,417.6381988508853,1661.040748,3.977224192064535,21.980957834257083
10278256,416.3902979911194,1666.033783,4.001134971294486,21.915278841637928
10281189,391.8439718659792,1567.82062,4.00113497353032,20.623366940314668
10282946,389.76948617563403,1576.190203,4.043903535049311,20.51418348292816
10284550,391.703486175634,1568.431141,4.004128623702723,20.615972956612325
10285714,386.0473806851993,1591.479881,4.122498845025879,20.318283193957882
10286719,384.8463265493531,1596.461623,4.148309371468739,20.255069818387028
10291438,387.2360402143413,1586.638903,4.097343062700905,20.380844221807422
10294718,388.0700496417983,1583.239232,4.079776920330191,20.424739454831467
10303609,387.0485805575828,1587.430169,4.101371891645089,20.37097792408332
10304742,382.8867522903451,1604.73683,4.191152659110857,20.151934331070834
10305679,384.0870711856006,1599.73683,4.165036914837903,20.215109009768412
10307732,36.80775861007233,153.305674,4.165036932133336,1.9372504531617025
10316169,35.90775861007233,157.159724,4.376762295486631,1.889882032109071
10319332,35.36658769606848,159.57178,4.511935993693244,1.8613993524246553
10326525,34.475313295703685,163.709529,4.748601632589122,1.8144901734580898
10326801,33.46421220253501,168.670798,5.040333744573336,1.761274326449211
10326963,33.8722328761234,166.645033,4.919812449608789,1.7827490987433379
10330097,34.158869303154255,165.250829,4.8377136705968375,1.7978352264818014
10339517,34.16161894297721,165.237568,4.836936102935156,1.7979799443672206
10340385,34.20161894297721,165.044896,4.825645717975274,1.8000852075251146
10340444,35.30012541297721,159.923786,4.530402771351289,1.8579013375251137
10340970,34.70924065283605,162.654496,4.686201511202167,1.8268021396229486
10344097,34.626138859105566,163.046037,4.708755939073586,1.8224283610055565
10349286,35.626138859105566,158.482798,4.448497734395764,1.8750599399529264
10354085,35.012956473066154,161.266661,4.605913845751785,1.8427871827929536
10354529,35.07904392306616,160.963752,4.58860145541648,1.8462654696350569
10355388,34.998606923066156,161.334807,4.60974939244427,1.8420319433192631
10361165,35.891513737253774,157.332873,4.383567495975952,1.8890270388028298
10362093,35.382691900570975,159.602211,4.510742468337308,1.8622469421353145
10363421,34.882691900570975,161.896794,4.641178337424985,1.8359311526616366
10363437,2345.3788874893094,10885.321685,4.6411783371396185,123.44099407838439
10363522,2346.0518874893096,10882.208434,4.638519928749695,123.47641513101644
10363645,2347.1674024643457,10877.052063,4.634118576962141,123.53512644549164
10363690,2350.1674024643457,10863.209055,4.622312880184204,123.69302118233418
10363773,2371.391134604471,10766.273407,4.540066482451334,124.81005971602508
10364018,2357.491134604471,10829.943426,4.593842694478254,124.07848076865685
10366149,2361.844788251349,10849.943425,4.593842694054857,124.30762043428149
10366221,2357.491134821753,10829.943427,4.593842694479036,124.07848078009238
10366239,2361.941134604471,10809.600441,4.576574869978785,124.31269129497196
10367415,2354.741134604471,10842.751989,4.604647122207457,123.93374392655141
10367476,2355.741134604471,10838.163099,4.6007445129660764,123.98637550549847
10367861,2352.8136700731925,10851.688951,4.612217741263982,123.83229842490528
10368356,2347.453243748004,10876.543424,4.633337619382882,123.55017072357941
10368379,2343.215362428659,10896.273662,4.650137514763646,123.32712433835059
10368541,2355.6625238922734,10838.870305,4.601198259541388,123.98223809959336
10369483,2358.5099174847674,10825.82391,4.590111675911542,124.1321009202511
10369535,2372.1478301881875,10763.769913,4.537562868561226,124.84988579937863
10369603,2367.196534577484,10786.351465,4.556593129233029,124.58929129355147
10370129,2363.196534577484,10804.663625,4.572054616241118,124.37876497776233
