block,reserve FEI,reserve DAI,price,volume for slippage 5%
12172441,5354838,4980000,0.9300001232530284,281833.5789473681
12172468,5352188,4982473.139981329,0.9309226693795751,281694.10526315775
12172501,5408384.10642066,4930856.71011779,0.9117060869001583,284651.7950747721
12172503,5430069.606007654,4911223.763730125,0.9044495043482509,285793.137158297
12172512,5429503.432797132,4911737.43321595,0.9046384248597034,285763.3385682702
12172516,5451704.226565937,4891795.347985504,0.8972965415379619,286931.80139820743
12172517,5470977.11645055,4874621.696034565,0.8909965427157759,287946.1640237132
12172534,5469830.300470591,4875646.794638263,0.891370760482056,287885.8052879255
12172536,5507388.03971663,4842496.297521942,0.8792727628051975,289862.52840613853
12172549,5506573.501697844,4843214.759944602,0.8795332993287552,289819.6579840975
12172560,5432665.9494057,4909577.461613403,0.9037142182744514,285929.7868108265
12172566,5430404.470135783,4911628.195893795,0.9044682072771982,285810.7615860943
12172577,5424766.584415714,4916748.1437481055,0.9063520185131936,285514.0307587227
12172579,5576031.698353014,4783759.527021332,0.8579146937838078,293475.3525448954
12172595,5570640.733783598,4788402.920733004,0.8595784846962666,293191.61756755784
12172598,5569884.695997741,4789054.838512411,0.8598122043627945,293151.8261051448
12172599,5569402.695997741,4789470.550998879,0.85996125840221,293126.4576840922
12172600,5568201.724199821,4790506.671334599,0.8603328163408123,293063.2486420963
12172623,5567485.139310213,4791125.107488515,0.8605546288143509,293025.53364790697
12172633,5564862.742710415,4793389.680198145,0.8613670995708121,292887.51277423184
12172634,5548222.368954509,4807809.39915275,0.866549514319254,292011.7036291845
12172638,5529370.797135149,4824250.253129564,0.8724772546686653,291019.5156386914
12172646,5526370.797135149,4826876.985969476,0.873426189294376,290861.62090185005
12172648,5493214.54413103,4856098.987303153,0.8840177182759821,289116.55495426524
12172650,5463368.334100187,4882707.529546145,0.8937174341825379,287545.70179474633
12172658,5460181.464989511,4885565.927571596,0.8947625566838153,287377.9718415532
12172670,5462419.939615707,4883569.848866109,0.8940304668721019,287495.7862955639
12172689,5462316.428971554,4883662.670754953,0.8940644018447043,287490.33836692385
12172693,5515227.50981019,4836949.80439063,0.8770172754953307,290275.13209527265
12172696,5514211.212543573,4837843.961394533,0.8773410692701687,290221.64276545215
12172700,5511880.281855248,4839896.003566881,0.8780843842888795,290098.96220290754
12172709,5511870.281855248,4839904.8108485,0.8780875752430497,290098.43588711787
12172711,5505870.281855248,4845194.948066036,0.8800052852740672,289782.6464134343
12172719,5505289.453437337,4845707.672242491,0.8801912620992121,289752.0764967017
12172722,5489309.23086454,4859856.718932419,0.8853311982511531,288911.0121507654
12172727,5488809.23086454,4860300.756970032,0.885492745792604,288884.69636129215
12172732,5482825.498619279,4865621.051974099,0.8874294929137161,288569.76308522467
12172736,5480525.706228231,4867668.955704833,0.8881755540664777,288448.72138043307
12172741,5479852.273490748,4868268.955704833,0.888394196182167,288413.2775521446
12172763,5479331.452235848,4868733.086657825,0.8885633455649289,288385.8659071503
12172771,5482676.242235848,4865771.747328357,0.8874811373768231,288561.9074860979
12172776,5539486.631636505,4816019.202713599,0.8693981090610241,291551.9279808691
12172778,5534794.6867085975,4820114.1134781,0.8708749621830146,291304.9835109785
12172787,5560763.99497692,4797670.928903432,0.862771902069069,292671.7892093109
12172799,5549299.356088741,4807612.5572748445,0.8663458661677512,292068.38716256525
12172802,5548238.076609099,4808534.935370783,0.8666778297858483,292012.5303478474
12172804,5470705.585299475,4876888.003506704,0.8914550285088565,287931.87291049864
12172819,5491787.394453461,4858222.611999921,0.8846341387699346,289041.4418133404
12172820,5487167.800009353,4862325.010661048,0.8861265388408133,288798.3052636497
12172853,5508984.912863007,4843126.391304394,0.8791322662721602,289946.5743612107
12172884,5480720.950648439,4868177.445000614,0.8882366916390163,288458.9974025497
12172885,5509016.655828257,4843247.880799889,0.8791492535561642,289948.2450435925
12172903,5508936.655828257,4843318.42539531,0.8791748259205799,289944.03451727703
12172915,5531971.518599812,4823211.331770461,0.8718792776777087,291156.3957157796
12172925,5531471.518599812,4823648.622687446,0.8720371435462912,291130.0799263064
12172934,5531391.518599812,4823718.596589611,0.8720624060635401,291125.86939998996
12172977,5531279.881921031,4823816.245652381,0.8720976606913362,291119.99378531706
12172985,5497513.197580193,4853534.119502716,0.8828599304934941,289342.79987264145
12172988,5479662.794406259,4869392.437581512,0.8886299431695464,288403.3049687501
12172999,5509953.934127242,4842702.6729316935,0.8789007550384831,289997.575480381
12173002,5509885.811964573,4842762.726452704,0.878922520669443,289993.99010339845
12173007,5500208.447373611,4851308.984213396,0.8820227507068266,289484.65512492694
12173011,5488925.4496912565,4861311.30881603,0.885658104372591,288890.81314164493
12173046,5433198.875379346,4911322.249016937,0.9039467101549873,285957.8355462821
12173049,5470516.4984263405,4877919.045613547,0.891674313936671,287921.92096980754
12173051,5470288.219910687,4878123.216709939,0.8917488477032356,287909.9063110892
12173063,5462540.032173866,4885063.274869639,0.8942842059000133,287502.1069565192
12173078,5455540.032173866,4891350.157146303,0.8965840463638297,287133.6859038882
12173095,5455134.555911577,4891714.821709874,0.8967175367670553,287112.34504797775
