block,reserve YFI,reserve USDC,price,volume for slippage 5%
10588699,10,40000,4000,0.526315789473685
10588707,10.161632199490644,39365.633435,3873.9478719740737,0.5348227473416127
10588779,25.161632199490644,97474.851514,3873.947871949786,1.3242964315521384
10588834,25.165060018155465,97461.613959,3872.894159151053,1.3244768430608147
10588884,25.365060018155464,96695.429865,3812.1506432781407,1.3350031588502844
10589009,25.301899314204938,96937.53535,3831.2355189706072,1.3316789112739436
10589142,25.4321298790329,96442.629555,3792.157008230386,1.338533151528047
10589283,25.372184775365884,96671.173508,3810.1241325445117,1.3353781460718892
10589305,25.2939255296014,96971.173508,3833.7731877369115,1.3312592384000759
10589321,25.23943119362666,97181.173508,3850.3709835006,1.3283911154540355
10589346,25.21419738237878,97278.722926,3858.0931786464203,1.3270630201251983
10589417,25.46419738237878,96326.506154,3782.8212178663807,1.3402209148620408
10589481,25.290424699220836,96990.36544,3835.062739890965,1.3310749841695184
10589559,25.348224699220836,96769.866242,3817.6190794527142,1.3341170894326773
10589674,25.47506460863806,96289.489011,3779.7544575549477,1.3407928741388453
10589820,25.395553491627542,96591.869591,3803.4953490123617,1.336608078506714
10589908,25.590491636225778,95858.261937,3745.8546439687584,1.3468679808539896
10589938,25.89299641013942,94741.681919,3658.9694146753973,1.3627892847441778
10589990,25.749650654311107,95270.686496,3699.8826809345237,1.3552447712795335
10590055,25.499650654311107,96207.53618,3772.8962441191184,1.342086876542691
10590098,25.484819230019014,96263.694646,3777.295564749752,1.3413062752641558
10590216,25.634819230019012,95702.09567,3733.2853729637563,1.3492010121062634
10590472,25.953419030055308,94530.754196,3642.3237372512976,1.365969422634489
10590594,24.59380976879461,99772.383084,4056.808767000967,1.294411040462876
10590693,24.76771076879461,99073.940254,4000.1250490548146,1.303563724673399
10590723,25.01771076879461,98086.842747,3920.696168146082,1.3167216194102451
10590772,25.51771076879461,96170.559348,3768.7769180927526,1.3430374088839265
10590776,25.371007571991516,96728.32125,3812.5534027581875,1.3353161879995525
10590799,25.393302732695943,96643.648948,3805.8715703634502,1.3364896175103134
10590845,24.988967051568785,98212.103447,3930.218613851601,1.315208792187832
10590885,25.478967051568784,96328.890242,3780.7219596867,1.3409982658720416
10591004,25.81243156749006,95091.765368,3683.9522506575886,1.3585490298678984
10591118,25.499381360532492,96262.698522,3775.0993704887983,1.34207270318592
10591127,25.749381360532492,95330.863456,3702.258400744296,1.355230597922759
10591416,25.823915871018322,95056.536964,3680.949761406251,1.3591534668957053
10591613,25.755864850675973,95308.446921,3700.4560892661534,1.3555718342461063
10591673,26.005864850675973,94394.948537,3629.756175347746,1.3687297289829452
10591769,25.687192677366077,95569.524461,3720.512617371761,1.3519575093350547
10591809,25.887192677366077,94833.368745,3663.3315140392015,1.3624838251245315
10591831,25.69235672176693,95554.694074,3719.187582081355,1.3522293011456306
10591863,25.79235672176693,95185.324423,3690.446958756208,1.3574924590403654
10591953,25.579998516089923,95977.904896,3752.0684309512176,1.3463157113731548
10592042,25.67999851608992,95605.276023,3722.947100760075,1.3515788692678896
10592211,25.937185922029016,94660.091112,3649.589874420537,1.3651150485278407
10592399,25.928617062185648,94691.468403,3652.0061280513974,1.364664055904509
10592675,26.42430998985799,92920.382941,3516.4733904750633,1.3907531573609475
10592706,26.204272657059047,93702.983394,3575.866600852124,1.3791722451083714
10592719,26.56440309397591,92436.4227,3479.7101358909167,1.39812647863031
10592728,26.29268561620657,93394.566288,3552.1120836143286,1.3838255587477128
10592742,26.41294765653595,92970.597001,3519.8872238704566,1.3901551398176792
10592786,26.311160244580147,93331.345501,3547.2151221543104,1.3847979076094816
10592831,26.168343680425576,93842.244103,3586.0979681796143,1.3772812463381854
10593027,25.92686363713001,94718.910758,3653.311564548537,1.3645717703752638
10593454,25.913297246593114,94768.648169,3657.1435609746445,1.363857749820692
10593475,25.48427276470684,96368.866931,3781.503510842232,1.3412775139319386
10593710,25.48199026048411,96377.524976,3782.1820034778166,1.341157382130742
10593742,25.38123624589301,96761.258904,3812.3146550695355,1.3358545392575252
10593757,25.63123624589301,95820.28012,3738.4182019450445,1.3490124339943677
10593764,25.87623624589301,94915.735683,3668.065741132067,1.3619071708364743
10593776,25.976236245893013,94551.433171,3639.9204363545587,1.3671703287312127
10593914,25.959214170402916,94613.619358,3644.7027532086304,1.3662744300212033
10593989,25.958074383081684,94617.786227,3645.0233106916307,1.3662144412148258
10594116,25.85214307860379,95006.657081,3675.001209459927,1.3606391094001964
10594320,25.95671673896172,94625.040711,3645.4934444372657,1.3661429862611456
10594503,25.963679758840744,94599.739986,3643.54131866799,1.3665094609916189
10594661,25.981657375224213,94534.479357,3638.508428917507,1.3674556513275924
10594792,25.331732722745958,96967.20533,3827.894696004386,1.33324909067084
10594833,25.301350832809174,97083.994023,3837.1071435880685,1.331650043832063
10594974,24.966394813570297,98390.418862,3940.9141606829285,1.3140207796615968
10594979,25.073923421284704,97969.735552,3907.235972047184,1.3196801800676177
10595049,25.074923421284705,97965.840193,3906.9248008088534,1.3197328116465634
10595299,25.246567533440523,97301.783355,3854.0598925425497,1.3287667122863418
10595383,25.746567533440523,95417.735511,3706.0371401767707,1.3550825017600268
10595407,25.47459542465467,96439.500507,3785.712742415705,1.3407681802449822
10595499,25.540165670683326,96192.648559,3766.3282924361065,1.344219245825439
10595675,25.544946875370137,96174.698346,3764.920663770473,1.3444708881773764
10595734,25.582736675631725,96033.058479,3753.82273197043,1.3464598250332465
10595870,25.626100770608303,95871.039504,3741.1481505590073,1.3487421458214897
