block,reserve BAT,reserve DAI,price,volume for slippage 5%
10092480,183.07178884963702,47.248393741719596,0.25808669942328627,9.635357307875609
10094952,211.3088688053224,40.95103544152206,0.19379705013351808,11.121519410806428
10098953,208.3088688053224,41.54257422407707,0.19942777502623374,10.963624673964318
10102655,207.24908822969445,41.75564386441918,0.20147564566431936,10.907846748931291
10111570,2.229e-15,4.49e-16,0.20143562135486764,1.173157894736839e-16
10138684,35.57736156213816,7.166547932436084,0.20143562135486764,1.8724927137967384
10167981,34.57736156213816,7.374432859003608,0.21327344036216267,1.8198611348493756
10190495,34.760002028944626,7.4133852197087755,0.21327344036216267,1.8294737909970848
10198200,33.66294268451854,7.65571090682145,0.22742250962932847,1.7717338255009736
10202925,49.896348185158615,11.347552725607562,0.22742250962932847,2.6261235886925647
10229547,48.896348185158615,11.58032466546624,0.2368341419202587,2.5734920097451877
10235480,0.173331284924222,0.04105076613296399,0.23683414192025867,0.009122699206537993
10235858,50.173331284924224,11.8827578621459,0.2368341419202587,2.6407016465749535
10244236,49.16628200410285,12.126879033425393,0.24665031682512467,2.587699052847519
10269019,54.5820159417388,10.926879033425394,0.20019192851155984,2.8727376811441445
10274968,53.5820159417388,11.131420764745606,0.2077454640163055,2.8201061021967817
10296559,55.5820159417388,10.732038897787541,0.19308473641972412,2.9253692600915144
10306196,47.458912457974456,12.574470116194714,0.26495487285616975,2.49783749778814
10318514,47.45928913242392,12.5743706146564,0.2649506733986384,2.4978573227591596
10336109,73.45928913242392,19.463088123021,0.2649506733986384,3.866278375390735
10336998,81.45361116501692,21.581189128922087,0.2649506733986384,4.287032166579834
10339376,80.56118957818299,21.82097545238292,0.27086213059460984,4.240062609378057
10340518,81.31519879818298,21.619238094442657,0.26586958421019996,4.279747305167518
10341403,81.82739879818298,21.48431554875682,0.26255650142008286,4.306705199904371
10349095,79.1841335286747,22.20364682716959,0.2804052508717425,4.167585975193404
10351384,83.1841335286747,21.139009672993133,0.2541230974739459,4.378112290982884
10353406,56.63175063476041,14.391435886677415,0.2541230974739459,2.980618454461073
10353523,55.43589075262512,14.702821279220986,0.26522206245102586,2.917678460664476
10355905,55.98267775262512,14.559644339713536,0.2600740965633929,2.9464567238223793
10369387,15.771961724175922,51.791244339713536,3.2837541230096794,0.8301032486408371
10369388,56.31008135171597,14.537672356812852,0.25817175198184716,2.9636884921955726
10371115,458.53324708380774,118.38033174155184,0.2581717519818471,24.133328793884687
10371483,845.5889731748734,218.30718666108822,0.25817175198184716,44.504682798677436
10377109,861.4389731748735,214.3022844655945,0.24877245067723538,45.338893324993364
10378213,864.4086818976746,215.0410661823633,0.24877245067723538,45.49519378408809
10378404,863.4086818976746,215.29087619133844,0.24934990891932365,45.44256220514069
10381860,863.5486818976746,215.25607755665328,0.24926918663533998,45.44993062619346
10383130,874.1179948976745,212.66104367256807,0.243286426905629,46.00621025777241
10384214,878.1179948976745,211.69522377486308,0.24107833458023092,46.216736573561775
10388749,881.1130903847474,210.9777770356218,0.23944460630302988,46.37437317814454
10391872,861.2137478300733,215.86733194925694,0.2506547677544157,45.32703935947745
10393604,866.1145740764304,214.64951107677044,0.24783038815119704,45.584977582970055
10394420,869.1396103407691,213.90465796067136,0.24611081512762306,45.74419001793524
10398512,873.031892610129,212.9538442674678,0.2439244729431286,45.9490469794805
10401769,9892.217107834244,2412.953844267468,0.2439244729431286,520.6430056754871
10401785,9906.059107834244,2409.5922606122886,0.24324428457191957,521.3715319912753
10402351,9905.059107834244,2409.8362614569746,0.24329347611373203,521.3189004123287
10403508,9924.1109535988,2405.2238224057332,0.2423616416273059,522.3216291367789
10403820,9956.3363901788,2397.4621712395056,0.24079762648482098,524.017704746253
10405128,9946.87498348191,2399.749484545322,0.24125662467161,523.5197359727335
10405338,9871.415858995964,2418.1488591963293,0.24496474403847907,519.5482031050506
10405397,9902.392992421746,2425.7371647570217,0.24496474403847904,521.1785785485135
10406130,9856.746913699826,2437.004428312572,0.24724226457771742,518.7761533526227
10406194,9845.011958135157,2439.918004382655,0.2478329142471478,518.1585241123776
10406997,9803.389888974349,2450.3082894908293,0.24994500037651626,515.9678888933868
10407194,9793.389888974349,2452.817820267561,0.25045646584835823,515.4415731039135
10407587,9810.524888974349,2448.5465742039855,0.24958364633025984,516.3434152091759
10408324,9801.156232363886,2450.894115387563,0.2500617332570002,515.8503280191508
10408382,9700.702735895356,2476.3501792638986,0.255275338981443,510.5633018892295
10408421,9712.144735895356,2473.441501915451,0.254675107216411,511.1655124155441
10408571,9737.172735895356,2467.1029008009605,0.2533695321749989,512.4827755734404
10409193,9657.951673006864,2487.400643484677,0.2575495019753252,508.31324594772923
10409599,9671.685673006865,2483.8790629863024,0.2568196638067623,509.03608805299154
10409985,9683.761673006866,2480.790857133735,0.25618049482246646,509.6716670003625
10410177,9689.909332217821,2479.221664687006,0.25585602297060533,509.99522801146486
10411128,9789.909332217821,2453.9726081025083,0.2506634663128776,515.2583859062015
10411705,9797.490332217822,2452.0794907766176,0.2502762858273267,515.657385906201
10412061,9780.154861215671,2456.438916684879,0.2511656463054762,514.7449926955615
10412540,9751.76811477979,2463.610962638711,0.25263223383099725,513.2509534094625
10413217,9714.815531506261,2473.0100830974166,0.25456068363595385,511.3060806055928
10414065,9644.194888364333,2491.1734526497607,0.25830807874437994,507.58920465075425
10414092,9657.157888364332,2487.8395181477194,0.2576161171751427,508.2714678086486
10414200,9722.434862337926,2471.1857988710194,0.2541735515702679,511.70709801778685
10414292,9727.296157919618,2472.4214116342505,0.2541735515702679,511.96295567997913
