block,reserve TUSD,reserve USDC,price,volume for slippage 5%
10092249,10,10,1,0.526315789473685
10092268,300,300,1,15.78947368421052
10113726,305,295.096481,0.9675294459016393,16.05263157894734
10127283,459.69911545972167,444.77243,0.9675294448961593,24.194690287353808
10129208,376.8761116334017,542.810571,1.4402891407667873,19.835584822810688
10129214,422.490985453831,484.362098,1.1464436276189618,22.23636765546479
10129294,451.4737785011172,453.355319,1.004167552111508,23.761777815848234
10133958,299.54267466500414,300.791035,1.0041675542104043,15.765403929737033
10157282,321.1286735790401,322.466994,1.004167551922549,16.901509135738934
10193705,821.1286735790401,824.550769,1.0041675507518744,43.217298609423096
10193717,1421.12867357904,1427.051299,1.0041675504344334,74.79624597784414
10193723,2319.912090589042,2329.580441,1.0041675503352816,122.10063634679182
10194033,2315.912090589042,2333.616156,1.0076445325722425,121.89011003100222
10195490,2315.977995558625,2333.549949,1.0075872713277385,121.89357871361199
10199391,2325.977995558625,2323.547364,0.9989550066409629,122.41989450308574
10207109,2355.977995558625,2294.047956,0.9737136596031998,123.99884187150656
10207784,2341.164583163752,2308.606921,0.986093390273419,123.2191885875659
10208688,2338.2814354114416,2312.687045,0.9890541873942826,123.06744396902332
10209383,2374.8938635973336,2277.138942,0.9588381935312003,124.99441387354364
10210404,2262.0492414572273,2392.026178,1.0574598174790575,119.05522323459127
10210656,2293.4665630769746,2359.355686,1.0287290532087054,120.70876647773548
10214201,2272.1266315106764,2337.402679,1.0287290534708988,119.58561218477234
10214242,2411.2466315106763,2202.924504,0.9136039736506921,126.90771744793028
10214244,2322.436757100652,2287.417715,0.9849214227282684,122.23351353161343
10218231,2826.436757100652,2783.818112,0.9849214227087926,148.75982932108673
10220952,2774.1396602327345,2838.109804,1.0230594532367194,146.00735053856488
10224245,2764.7589231550464,2847.768394,1.0300241262085252,145.51362753447665
10226260,2808.0465367858505,2803.998122,0.9985582807361574,147.79192298872886
10227624,2848.0465367858505,2764.73326,0.9707472206967961,149.89718614662388
10227667,2801.4219692512834,2810.885668,1.003378176816128,147.44326153954125
10228657,2851.4219692512834,2761.741759,0.9685489516394407,150.07484048690958
10232546,2776.3460167643584,2837.321825,1.0219626112406208,146.12347456654516
10232926,2676.3460167643584,2943.655587,1.099878554028979,140.8603166718085
10232927,2779.093300511238,2835.138645,1.0201667732704232,146.2680684479601
10233720,2879.093300511238,2736.950518,0.9506293240007201,151.53122634269675
10234084,2802.0502919971996,2812.430032,1.0037043375104457,147.47633115774715
10234596,2852.2432919971993,2763.083527,0.968740476926578,150.11806799985243
10236674,2827.6224284483674,2787.214827,0.9857096898645903,148.82223307623008
10237323,2758.8797347962236,2856.872516,1.035519047810547,145.20419656822241
10239165,2508.8797347962236,3142.405227,1.2525132964395493,132.04630183137988
10239166,2784.0993571695353,2832.605647,1.017422614500288,146.53154511418597
10244599,2734.330454228584,2885.508017,1.0552886950944875,143.91212916992617
10245761,2769.330454228584,2849.147741,1.028821871600603,145.75423443308364
10246496,2819.330454228584,2798.767847,0.9927065636460801,148.38581338045196
10246527,2869.330454228584,2750.141217,0.958460958356005,151.0173923278203
10246546,2736.15934641758,2884.395597,1.0541767608587944,144.0083866535565
10247094,2813.916111842898,2804.923802,0.9968043433117809,148.10084799173183
10250996,3814.6961118428976,3802.505652,0.9968043431283944,200.77347957067923
10251814,3985.2235931428977,3640.263961,0.9134403317453891,209.7486101654158
10251815,3835.9941857222825,3782.305115,0.9860038706726628,201.89443082748858
10255265,3735.979891521343,3883.864239,1.0395838178396717,196.6305206063862
10255378,3817.6467640892884,3801.024781,0.9956460133384673,200.928777057331
10261816,4181.6317640892885,3471.075655,0.8300768338352147,220.08588232048896
10261817,3847.2737845846004,3773.646808,0.9808625586045859,202.48809392550584
10262405,3746.6842950748314,3875.265031,1.0343185402875266,197.19391026709627
10262800,3803.4998503979164,3817.548545,1.003693623019497,200.18420265252234
10266669,4077.798894313369,4092.860746,1.0036936229757762,214.6209944375455
10272926,4177.798894313369,3995.180717,0.956288423178545,219.8841523322826
10274933,4060.72323050501,4110.713307,1.0123106337608665,213.7222752897378
10275018,4177.798997131486,3995.853435,0.9564494217514026,219.88415774376244
10275226,4167.429916938588,4005.825528,0.9612220500021502,219.3384166809783
10275432,4143.0502213820855,4029.468657,0.9725850380002886,218.05527480958335
10275691,4201.021257662816,3974.029438,0.9459674670179841,221.10638198225297
10275693,4103.679783531202,4068.579186,0.9914465554373744,215.9831465016423
10276436,4082.8023482233384,4089.446493,1.001627349112198,214.88433411701772
10276703,4071.224769568018,4101.110883,1.0073408163694075,214.27498787200147
10277767,4026.090722016626,4147.224276,1.0300871396963205,211.89951168508514
10278601,4075.915519095773,4096.678023,1.0050939485391575,214.52186942609342
10280128,4061.7565695575477,4112.082856,1.0123902763695005,213.7766615556602
10280358,4081.6340048654115,4092.116922,1.002568313847369,214.82284236133773
10282048,4139.914179078498,4034.680016,0.974580593092893,217.8902199514996
10282907,4159.914179078498,4054.171627,0.9745805928857114,218.94285153044802
10284214,4124.19302396887,4089.391962,0.9915617281328458,217.06279073520363
10284592,4144.19302396887,4069.715356,0.9820284268763275,218.11542231415115
10286593,4045.096146058849,4169.715356,1.0308074778550238,212.89979716099288
10287497,4070.096146058849,4144.179824,1.0182019478858964,214.21558663467613
10287617,4114.59614605885,4099.492882,0.9963293447223692,216.55769189783405
10289765,4140.56788388063,4073.855448,0.9838880951232937,217.9246254674017
10289843,4240.56788388063,3978.068248,0.9380979993555931,223.18778336213836
10289866,4159.544803154583,4055.789541,0.9750561017936638,218.9234106923459
