block,reserve LINK,reserve WBTC,price,volume for slippage 5%
10263792,377.6774382356894,0.15111689,0.00040012157121680007,19.877759907141524
10263845,365.37780925185564,0.15621921,0.0004275552757839155,19.230411013255548
10264232,1230.3778009416158,0.52605452,0.0004275552757839155,64.75672636534819
10268275,1253.228006641014,0.51649118,0.00041212866075689966,65.95936877057989
10268956,0.1271272830817614,0.0000524,0.00041218532111867085,0.006690909635882203
10461871,106.41931614874545,0.04386448,0.00041218532111867085,5.601016639407661
10461872,71.371233209173,0.06546971,0.0009173122987537996,3.756380695219633
10462035,0.08525924894494781,0.00007821,0.0009173198329544336,0.004487328891839365
10679881,55.19507751057121,0.08335478,0.0015101850338743617,2.9050040795037475
10679922,0.06647077691292677,0.00010039,0.0015102877484267354,0.0034984619427856217
10909474,0.06819936400905188,0.00009786,0.0014349107417924213,0.0035894402110027285
10924935,0.10482900667441154,0.00006374,0.0006080378134076009,0.005517316140758496
11056633,1.271709855374277,0.00077324,0.0006080317744902808,0.06693209765127772
11058317,1.0425224943580542,0.00094374,0.0009052466542519251,0.0548696049662134
11094816,0.0859375921970417,0.0000778,0.0009053081196598637,0.004523031168265357
11135312,7.571168148337417,0.00685424,0.0009053081196598638,0.3984825341230218
11154601,7.9587946028319525,0.00652137,0.0008193916698992988,0.4188839264648401
11173977,6.681872228439369,0.00777137,0.001163052769390518,0.35167748570733437
11173978,7.7958614225537834,0.00666374,0.0008547791756176547,0.41030849592388297
11174166,6.5675928283004845,0.00791374,0.0012049681225515107,0.34566278043686793
11174168,7.853648642285653,0.0066211,0.0008430603788856356,0.4133499285413498
11200410,8.269107301620483,0.00628939,0.0007605887516742561,0.43521617376949884
11225173,7.905243644724024,0.00657975,0.00083232728752027,0.41606545498547476
11239871,0.08972956236718181,0.00007469,0.0008323901067784272,0.0047226085456411465
11261199,2.1033854671650967,0.00175083,0.0008323866582380337,0.11070449827184703
11320325,66.2288854671651,0.05512804,0.0008323866483806576,3.485730814061327
11322210,8.51593548958388,0.00708856,0.000832387705222785,0.4482071310307312
11334653,9.33076223283134,0.00647124,0.000693538195328803,0.491092749096385
11348119,2.3046428586190744,0.00159836,0.0006935391286430064,0.1212969925588987
11380719,2.2846428586190743,0.0016124,0.0007057558225860283,0.12024436097995128
11385860,37.599638366302216,0.02653616,0.000705755724070538,1.978928335068538
11392563,61.04514427671011,0.04308295,0.000705755560257345,3.2129023303531667
11395326,61.57334144151965,0.04271447,0.0006937169398313198,3.2407021811326118
11395413,25.9527726437338,0.01800388,0.0006937170161796554,1.3659354023017762
11401668,2.304411739222013,0.00159861,0.0006937171742319378,0.12128482838010601
11447622,2.3836618521419384,0.00154562,0.00064842250951456,0.125455886954839
11502195,2.6315610808708727,0.00140042,0.0005321632129992414,0.13850321478267746
11532153,38.27462985501224,0.02036835,0.0005321632129992413,2.0144542028953865
11532159,43.593518053162555,0.01788974,0.00041037614762321677,2.294395687008553
11538450,40.68390530977395,0.01917302,0.00047126793394128394,2.141258174198626
11548759,41.28785466561328,0.0188934,0.0004576018820308295,2.1730449824006968
11559278,43.210668503252066,0.01805509,0.0004178387103324069,2.2742457106974854
11564246,46.56227043610128,0.01675909,0.0003599285396316525,2.4506458124263872
11566276,44.55361609484222,0.01751693,0.0003931651689665625,2.344927162886435
11577788,43.805638763530624,0.01781693,0.00040672686217814213,2.3055599349226625
11577873,50.269927809795874,0.02044613,0.00040672686217814213,2.6457856741997787
11578263,52.269927809795874,0.01966606,0.00037624042779554775,2.7510488320945186
11590246,48.43054267272944,0.0212298,0.00043835560843207737,2.548975930143655
11616929,50.411272706609864,0.02039806,0.00040463291055386173,2.6532248792952515
11625605,47.53316071179679,0.02163687,0.00045519527159552334,2.5017453006208825
11629187,42.832335314810486,0.02401865,0.0005607597583336735,2.2543334376216038
11629195,47.21422381389114,0.02179558,0.00046163164909612277,2.4849591480995414
11638016,49.296025314608855,0.02087779,0.00042351872928410067,2.5945276481373014
11648041,137.53455507967945,0.05824846,0.0004235187292841007,7.23866079366735
11657740,135.34729072784808,0.05919261,0.0004373387134805866,7.1235416172551425
11659945,122.35532098302426,0.06549673,0.0005352994007435697,6.439753735948642
11663700,116.73369958569371,0.06866039,0.0005881796794215084,6.143878925562831
11678200,140.3272042331998,0.08253761,0.0005881796794215084,7.385642328063142
11685911,65.43395271897661,0.03848693,0.0005881798118675832,3.4438922483671917
11694888,64.95298140468044,0.03877278,0.0005969361091899943,3.4185779686673925
11695996,63.95298140468045,0.03938088,0.0006157786413553798,3.3659463897200297
11705210,63.833279999926525,0.03945495,0.0006180937279119202,3.3596463157856036
11706809,62.75619996352599,0.04013415,0.0006395248600668306,3.3029578928171617
11707673,62.29436492089543,0.04043259,0.0006490569420098169,3.2786507853102904
11708699,66.49407348815821,0.04315844,0.0006490569420098168,3.4996880783241266
11708727,62.294364920895596,0.0404326,0.0006490571025379787,3.2786507853102975
11709360,62.16999201640925,0.04051373,0.0006516605308443137,3.2721048429689006
11709587,59.93972632605422,0.04202572,0.0007011329976949282,3.1547224382133763
11712260,58.34496329264209,0.04317788,0.0007400446853215379,3.070787541718005
11713420,57.67206619891812,0.04368318,0.0007574408700623157,3.035371905206219
11717168,36.87726311344444,0.02793235,0.0007574409715295989,1.9409085849181338
11726939,38.17878760636684,0.02698289,0.0007067508344738593,2.0094098740193047
11743492,37.49666188910896,0.02747523,0.0007327380256208962,1.9735085204794203
11750354,38.01786188910896,0.02709968,0.0007128144154725149,2.000940099426785
11750472,40.01786188910896,0.02574917,0.0006434419227931753,2.106203257321525
