block,reserve TUSD,reserve WETH,price,volume for slippage 5%
10092506,1060.946556878732,4.990903832209464,0.004704199094526053,55.83929246730145
10093114,1057.2504524585772,5.0097334790400545,0.004738454797905451,55.644760655714435
10093402,1182.212325382915,5.6018596653536346,0.004738454797905451,62.22170133594295
10096437,1187.212325382915,5.578337652765895,0.004698685764542326,62.48485923067983
10096447,1206.9801472756728,5.48724570503306,0.00454626011655499,63.525270909246046
10096628,2698.044191901771,12.26601070234586,0.00454626011655499,142.00232588956715
10097044,2739.6392517251816,12.455112663866752,0.00454626011655499,144.19153956448372
10097182,2707.1343715057365,12.605112663866752,0.004656256740168999,142.48075639503895
10097621,2692.6551725623585,12.673098018687199,0.004706543246912432,141.71869329275614
10097725,2702.6551725623585,12.626346886295977,0.004671830507450595,142.245009082229
10097843,2685.8255048355563,12.705702984528632,0.004730650953181174,141.359237096608
10097859,2619.2289927988486,13.029730249382927,0.0049746434104105015,137.85415751572918
10097860,2688.888604746239,12.693162438784846,0.004720598100040202,141.52045288138152
10097864,2656.5827792312853,12.84798425918569,0.004836282294543599,139.8201462753309
10097873,2625.582842093298,13.000135299122295,0.0049513331252415095,138.18857063648966
10097874,2684.801505290346,12.714232645723268,0.004735632269525376,141.30534238370274
10097877,2653.4771767242682,12.864775938100337,0.0048482708089398275,139.6566935118035
10097885,2623.190574870479,13.013755870700116,0.0049610409534742534,138.0626618352885
10097886,2680.8175691922206,12.734832741481581,0.004750354103848558,141.095661536433
10097887,2650.2007101995764,12.88239658381057,0.004860913565614601,139.48424790524086
10097892,2620.5740551015047,13.028475551484833,0.00497161128727583,137.92495026850065
10097893,2676.9158546076,12.75506694737867,0.004764836715141497,140.8903081372423
10097906,2662.1244555292255,12.82615039505534,0.004818013060364424,140.11181344890701
10097920,2617.4152553070826,13.045898653286773,0.004984267829430142,137.75869764774097
10097922,2673.0871195388345,12.774992452595582,0.004779115637203604,140.68879576520158
10097925,2628.470839992099,12.992490660628528,0.004942984515159233,138.3405705258997
10098275,2648.9197978337593,12.892490660628527,0.004867074749175789,139.4168314649346
10098645,2692.110614344557,12.68626086990753,0.004712384700060413,141.69003233392414
10098714,2724.110614344557,12.537677795256545,0.004602484836421818,143.37424286023997
10099473,2703.045804917472,12.635677795256544,0.0046746073530346,142.2655686798671
10100702,2692.3603672787995,12.6859771611241,0.004711842186989986,141.7031772252003
10101344,2672.335182026001,12.781325774141452,0.004782830335097199,140.64922010663167
10101640,2617.213536253583,13.051325774141452,0.004986725612318132,137.74808085545192
10101641,2686.3801830493658,12.716273490877608,0.004733609029397731,141.38843068680853
10101844,2686.8224115130574,12.717239460971214,0.004733189438378113,141.41170586910812
10101956,2750.204620044056,13.017239460971215,0.004733189438378112,144.74761158126603
10102013,2784.204620044056,12.858747320605707,0.004618463466382092,146.5370852654769
10102079,2816.682954254525,13.008747320605707,0.004618463466382092,148.24647127655408
10103169,2903.098679984525,12.622646785088737,0.0043479909491592,152.7946673676065
10103171,2825.3134693600705,12.971213299388737,0.004591070491844113,148.70070891368823
10104082,2756.104967902688,13.297913299388735,0.004824893628600817,145.05815620540443
10104246,2751.192995150553,13.321726799388736,0.00484216368058168,144.79963132371313
10104456,2776.81522293406,13.445793820177622,0.004842163680581679,146.14816962810846
10105756,2777.9352229340598,13.440389039948238,0.004838265820234814,146.2071169965293
10106823,2769.365490061753,13.483621263217907,0.004868848590626888,145.7560784243028
10106863,2799.365490061753,13.339550015705948,0.004765204851979397,147.33502579272408
10107182,2814.365490061753,13.268665064546562,0.0047146204398119665,148.12449947693403
10107191,2864.365490061753,13.03773168828255,0.004551699751138068,150.7560784243028
10107196,2919.365490061753,13.288075174595143,0.004551699751138067,153.6508152664087
10107657,2855.3041706056547,13.587102184295144,0.004758548081906492,150.27916687398192
10108518,9323.947176880982,44.36845095434444,0.004758548081906492,490.7340619411043
10109231,9279.322989312901,44.582460496935475,0.0048044949559662474,488.3854204901545
10110049,9076.34812038116,45.582460496935475,0.005022114609572869,477.70253265163956
10110108,8835.980640413274,46.82618319582749,0.005299489111786617,465.0516126533312
10110115,9047.915323239877,45.73255941801128,0.005054485788626431,476.20606964420585
10110679,9127.991461556221,45.33255941801128,0.004966323600206631,480.4206032398015
10110963,9104.403971566364,45.45035941801128,0.004992129035569562,479.1791563982297
10110981,8913.78546765382,46.425225684690496,0.005208250283020328,469.1466035607282
10111142,8943.78546765382,46.26996788267218,0.005173421036317629,470.7255509291481
10111352,8968.81046765382,46.141250490767554,0.00514463435894613,472.0426561923068
10111610,8928.150352431237,46.35201685878969,0.005191670730115729,469.90265012796044
10111614,8889.907194641324,46.55201685878969,0.005236502006100852,467.8898523495427
10111615,8988.452079513028,46.04315825352079,0.005122479137254886,473.07642523752656
10111794,9008.452079513028,45.94124211049864,0.005099793139265064,474.1290568164768
10112050,9058.452079513028,45.68841648168814,0.005043733309029581,476.7606357638433
10112250,9083.452079513028,45.56304639401727,0.0050160496246554696,478.0764252375284
10112253,9113.452079513028,45.41350874745447,0.004983129153610595,479.6553726059501
10112727,9137.145938417243,45.296097735548564,0.004957357367479549,480.90241781143413
10116124,9197.145938417243,45.00147746787724,0.0048929828632926576,484.06031254827576
10117370,9217.146038417242,44.904121975735166,0.004871803244580689,485.1129493903809
10117553,9322.217797740199,44.399503890538426,0.004762761915013541,490.64304198632635
10117624,9327.217797740199,44.37577421169538,0.0047576646299014,490.906199881063
10117643,9342.217797740199,44.30473723585434,0.0047424217883864014,491.69567356527295
10118978,9409.401670857407,43.989340165348594,0.004675041166707913,495.23166688723177
