block,reserve BAT,reserve WBTC,price,volume for slippage 5%
11046606,29692.353014923083,0.56758614,0.000019115566210422487,1562.7554218380574
11051091,29692.462154584384,0.56758406,0.000019115425896480178,1562.7611660307593
11055370,29918.783584584384,0.56330334,0.000018827748742105993,1574.6728202412814
11060616,30252.16037796723,0.5571142,0.000018415683145913393,1592.2189672614331
11067494,32199.14037796723,0.59296916,0.000018415682935614905,1694.6915988403816
11089710,32528.07040762045,0.58699076,0.000018045668022855847,1712.0037056642395
11092491,32533.86194768882,0.58688658,0.00001803925340753135,1712.3085235625695
11093611,32534.856947688822,0.58686869,0.00001803815184875707,1712.3608919836188
11093959,35188.12655098789,0.63472876,0.000018038151564570304,1852.006660578314
11094468,35778.41611683803,0.6242876,0.00001744872098198327,1883.074532465158
11102302,36551.992897672346,0.61111415,0.000016719037774788912,1923.7890998774965
11116481,36501.80829390595,0.61195687,0.000016765111061694095,1921.1478049424186
11135165,37082.253498635204,0.60240626,0.00001624513623537392,1951.6975525597372
11140244,37767.67771524078,0.59150574,0.00001566169210772797,1987.7725113284614
11141213,37862.11903871433,0.59003474,0.000015583774891117018,1992.7431073007538
11141853,37899.46601871433,0.58945505,0.000015553122825238056,1994.7087378270735
11143814,39744.24165518037,0.56217309,0.000014144768313291617,2091.802192377916
11143819,38659.94633194512,0.5779878,0.000014950558778256832,2034.7340174707933
11152967,39468.125832673555,0.56618727,0.000014345430852236815,2077.2697806670258
11155838,40208.559994675736,0.55579173,0.000013822721581513883,2116.2399997197717
11158985,40208.75999477573,0.55578898,0.000013822584433646122,2116.250526040829
11168399,40957.990664999445,0.54565207,0.000013322237276309693,2155.683719210494
11175481,40153.584352631966,0.55661614,0.000013862178158536306,2113.3465448753705
11182839,40882.77105865918,0.54671757,0.000013372810987189735,2151.7247925610063
11186145,40950.853254802016,0.54581136,0.000013328449021657359,2155.3080660422056
11188953,41653.4240377937,0.53663229,0.000012883269560579067,2192.2854756733504
11193730,41574.67387188337,0.53765183,0.000012932195972404483,2188.140730099127
11197280,42426.95576715937,0.52688312,0.000012418593568003162,2232.99767195576
11204792,41768.34707320304,0.53521608,0.000012813915740117329,2198.3340564843747
11223606,36283.750650687216,0.46493693,0.000012813915917239777,1909.6710868782757
11231714,35914.60423454306,0.46973014,0.00001307908440066307,1890.2423281338488
11239739,36633.86426315718,0.46053471,0.000012571283954424693,1928.098119113536
11241478,36345.07808029468,0.46420498,0.000012772155255092969,1912.8988463312926
11244031,36704.7607980877,0.45966959,0.000012523432383298587,1931.829515688827
11244491,37216.67481782079,0.45336556,0.00001218178577799516,1958.7723588326771
11246242,37404.32728534062,0.45109788,0.000012060045260506336,1968.6488044916114
11253316,36926.246281462045,0.45695578,0.000012374823493212845,1943.4866463927392
11258079,37065.041228087866,0.45524977,0.000012282456862748935,1950.791643583565
11270864,37559.425469041686,0.44927519,0.000011961716250700229,1976.8118667916715
11277159,38301.31558601274,0.44059841,0.00001150347979589772,2015.8587150532985
11280794,38449.91495301274,0.4389007,0.0000114148679011736,2023.6797343690923
11280968,39577.21142707471,0.42643573,0.000010774779592184101,2083.0111277407777
11283500,38762.74043816839,0.43542283,0.000011233024937815118,2040.1442335878091
11292889,39403.818667517415,0.42835966,0.000010871018964289337,2073.885193027236
11300190,38844.01015813967,0.43455163,0.000011187094953144038,2044.42158727051
11300921,38298.971552526156,0.44075441,0.00001150825706626392,2015.7353448697977
11303867,37890.65254734608,0.44551838,0.000011758002305273172,1994.244870912953
11304618,36844.926514614,0.45820105,0.000012435933338563214,1939.2066586638975
11305189,36994.926514614,0.45634878,0.000012335442261785,1947.1013955060043
11305616,37511.080597239416,0.45008799,0.000011998800963177896,1974.2673998547107
11313851,36635.163522451214,0.46088161,0.00001258030716083898,1928.166501181644
11315720,34587.475027335415,0.48824937,0.000014116363499044766,1820.3934224913319
11320744,35541.40205064271,0.47518308,0.000013369846223931028,1870.6001079285634
11322206,37119.61085977755,0.49628348,0.000013369845979117413,1953.6637294619795
11323589,35541.40270143701,0.47518309,0.000013369846260479399,1870.6001421808978
11324539,35241.68935890649,0.47923645,0.000013598566320683048,1854.825755731923
11328209,34334.46880545347,0.49193743,0.000014327800811115615,1807.077305550185
11330419,35062.238543886124,0.48175653,0.00001374003914202463,1845.380975994005
11332082,36509.98019732784,0.46270834,0.000012673475512700102,1921.5779051225181
11336729,36150.81637450335,0.46731925,0.000012926934904009346,1902.6745460264938
11362483,36624.92728450335,0.46128771,0.000012594911285876573,1927.6277518159623
11366200,36071.22482799448,0.4683899,0.000012985139879045298,1898.4855172628668
11368142,36608.45637430082,0.46153657,0.00001260737588280284,1926.7608618053055
11379984,36298.67212908437,0.46548732,0.000012823811249751682,1910.4564278465477
11382492,36379.37230908437,0.46445783,0.000012767065524217945,1914.7038057412792
11385475,2.8023153321e-8,1e-8,0.3568477781729937,1.4749028063684243e-9
11546405,2.3931889151473,0.00001848,0.000007721914422649145,0.12595731132354215
11546503,305.0344605077764,0.00235544,0.000007721881639467918,16.05444528988295
11566471,305.0357594311894,0.00235543,0.000007721815974599998,16.05451365427308
11589653,368.0357594311894,0.00195324,0.000005307201677953232,19.370303127957357
11681324,2661.034376223504,0.01412264,0.000005307199383137101,140.05444085386853
11681329,2188.1256936420064,0.01718408,0.00000785333312886524,115.16451019168471
11695951,2192.0722417520064,0.01715324,0.000007825125318995113,115.37222325010543
11706016,1991.3183411619614,0.01888774,0.000009485042953493186,104.80622848220833
11720651,1941.3183411619614,0.01937568,0.000009980681472572311,102.17464953484
