block,reserve FEI,reserve USDC,price,volume for slippage 5%
12169043,26000,25100,0.9653846153846154,1368.4210526315765
12169063,26100,25004.118822,0.9580122154022989,1373.6842105263167
12169072,26110,24994.571088,0.9572796280352356,1374.2105263157864
12169183,26147.752975406478,24958.591223,0.9545214553034459,1376.1975250213945
12169235,26257.752975406478,24854.346085,0.9465526661127122,1381.9869987056045
12169615,27791.89455851803,23486.24964,0.8450755161922425,1462.7312925535807
12169642,27690.76970987885,23572.277946,0.8512684260123852,1457.408932098886
12169657,26690.76970987885,24458.09757,0.9163504026243018,1404.7773531515195
12169688,26603.17792027916,24538.86893,0.9224036693486318,1400.1672589620612
12169808,29205.454762839632,22358.372758,0.7655546862584142,1537.1291980441893
12169816,27056.332476386113,24139.673443,0.8922005029346946,1424.0174987571627
12169869,26944.521447150608,24240.146682,0.8996317388506969,1418.1327077447713
12169885,28093.00940890394,23257.032267,0.8278583447036755,1478.5794425738932
12169913,27993.00940890394,23340.363834,0.8337925906092811,1473.3162846791565
12169939,27596.560427785596,23676.677731,0.8579575629708236,1452.4505488308205
12169949,26485.164547149838,24673.210793,0.9315860865835236,1393.9560287973618
12169950,27938.626051913783,23393.278189,0.8373095421919494,1470.454002732302
12169954,26845.137766468342,24349.028449,0.9070181967705834,1412.9019877088613
12169982,25845.137766468342,25293.975834,0.9786744440115377,1360.2704087614948
12169983,27857.06800456922,23472.246382,0.8425957239344067,1466.1614739246943
12170021,27207.06800456922,24034.705695,0.8833993317825924,1431.9509476089079
12170036,26764.148615508773,24433.652425,0.9129247029678224,1408.6394008162533
12170078,25918.11112525791,25233.652425,0.9735914898678366,1364.11111185568
12170079,27734.310172619123,23585.844153,0.8504211572669752,1459.700535401007
12170126,26619.347284083335,24576.720077,0.9232653158139346,1401.0182781096519
12170137,26399.347284083335,24782.147424,0.9387409149673039,1389.4393307412283
12170143,27804.155745376986,23533.593427,0.8464056108199921,1463.3766181777355
12170151,27371.334207383672,23906.848728,0.8734265033215263,1440.5965372307182
12170199,27145.87679878168,24106.002168,0.8880170770200316,1428.7303578306128
12170243,29890.368877007197,21898.654705,0.7326324675051192,1573.1773093161646
12170271,27938.82863979286,23432.888672,0.8387212282273311,1470.4646652522533
12170307,26957.32771580304,24288.634017,0.9010030323874207,1418.8067218843717
12170321,26907.32771580304,24333.903692,0.9043597323753695,1416.1751429370051
12170381,26407.32771580304,24796.031579,0.9389829916096059,1389.8593534633183
12170588,27100.194607251433,24163.92829,0.8916514674597299,1426.3260319606052
12170646,26105.47486539436,25087.438114,0.9610029406994669,1373.9723613365459
12170650,27429.168265897923,23880.210622,0.8706137346384555,1443.6404350472585
12170721,27383.485082639796,23920.169256,0.8735253815871881,1441.2360569810444
12170825,26287.80144591137,24920.169256,0.947974645474809,1383.5684971532282
12170831,28599.791154230803,22911.194324,0.8010965604764816,1505.2521660121492
12170855,28142.35339924972,23284.723186,0.8273907606682521,1481.1764946973562
12170898,27436.30863208124,23885.734268,0.8705884814282356,1444.0162437937506
12170931,27215.8919419552,24079.762686,0.884768455774156,1432.415365366065
12171026,28061.929432206063,23355.895778,0.8322982863464459,1476.9436543266347
12171035,27593.500587772956,23753.579853,0.8608396668426159,1452.2895046196318
12171070,27340.254158984186,23974.265808,0.8768852574884312,1438.960745209697
12171081,25240.90462228083,25974.265808,1.029054473153542,1328.4686643305686
12171086,27826.404960999676,23567.426967,0.8469447275000532,1464.5476295262997
12171101,27591.65831011844,23768.539258,0.8614393158559657,1452.1925426378148
12171107,25388.350061305253,25837.480307,1.0176904070020396,1336.2289505950139
12171108,27604.39451507622,23769.005834,0.8610587644303695,1452.8628692145357
12171143,26312.965155635524,24939.08898,0.9477871016242624,1384.8929029281826
12171156,28114.681892294484,23345.366919,0.8303621221266021,1479.720099594444
12171167,46261.22233732749,38413.566752,0.8303621221224123,2434.801175648812
12171185,45274.05100883188,39253.669979,0.8670235842456986,2382.844789938521
12171189,44714.743103323985,39746.146269,0.8888823575964001,2353.4075317538955
12171214,43615.35290455231,40751.021955,0.9343274613455357,2295.544889713281
12171218,43444.448539818455,40911.813131,0.9417040497936762,2286.549923148341
12171222,45397.84752756185,39156.495778,0.8625187736979685,2389.3603961874687
12171238,43271.798711391144,41086.138671,0.9494899656247529,2277.4630900732154
12171246,45647.361219080674,38954.031255,0.853368742785446,2402.492695741086
12171251,44385.256069727824,40065.031255,0.9026653173310325,2336.066108933046
12171316,44143.123453979286,40285.456109,0.9126100048402548,2323.3222870515383
12171331,43860.339487295576,40545.97302,0.9244336339837131,2308.4389203839746
12171338,42823.25071860316,41530.865606,0.969820480908944,2253.8553009791212
12171343,44779.0234148046,39722.164473,0.8870708077985298,2356.790706042346
12171370,44689.19744258118,39802.24688,0.8906458195213693,2352.0630232937474
12171374,42555.16017168579,41804.238252,0.9823541512555412,2239.7452721939917
12171379,45196.56991771956,39367.987856,0.8710392830179259,2378.7668377747177
12171431,43013.9460904861,41371.6185,0.9618187183516893,2263.891899499271
12171442,45604.47403055843,39028.185644,0.8557972978231956,2400.2354752925457
12171519,43980.970350389274,40473.198378,0.9202434156308189,2314.7879131783848
12171570,43907.20098105296,40541.402824,0.923342912282079,2310.9053147922605
12171636,43906.20098105296,40542.328967,0.923385035851665,2310.852683213314
12171704,45703.901888479275,38952.247922,0.8522740140884736,2405.4685204462803
12171710,45624.04957034491,39020.628232,0.8552644624812732,2401.265766860255
12171728,45483.97257425914,39141.161666,0.860548440488491,2393.8932933820615
12171768,44795.7777707363,39744.294345,0.8872330456769907,2357.6725142492796
