block,reserve USDT,reserve WBTC,price,volume for slippage 5%
10362409,460.652037,0.05067172,0.00010999999116469771,24.244844052631606
10367913,460.818314,0.0506535,0.00010992076152598396,24.253595473684243
10370768,460.860386,0.05064889,0.00010990072381703904,24.255809789473687
10375605,463.224133,0.05039121,0.00010878364577779889,24.38021752631579
10377776,471.027634,0.04955885,0.00010521431530278328,24.790928105263163
10380675,932.810993,0.09814507,0.00010521431537203163,49.09531542105276
10383396,910.586265,0.10054771,0.00011042085068129157,47.92559289473684
10387278,910.767972,0.10052771,0.00011037686116612806,47.935156421052625
10387290,910.788802,0.10052542,0.00011037182251171331,47.93625273684211
10390157,910.830098,0.10052088,0.00011036183391471546,47.938426210526245
10392939,912.467468,0.10034105,0.00010996671499964095,48.024603578947335
10395489,913.024377,0.10028003,0.00010983280679700846,48.05391457894723
10396896,4479.608728,0.492008,0.00010983280680847891,235.76888042105293
10401999,4474.153669,0.49260968,0.00011010119822507151,235.48177205263164
10403023,4453.863606,0.49486057,0.00011110815547502422,234.41387399999985
10405957,4534.840756,0.48605005,0.00010718128290544984,238.67582926315845
10406013,4527.329855,0.48685884,0.00010753774423180393,238.28051868421062
10408037,922.750798,0.09923054,0.00010753774498496831,48.56583147368417
10423625,923.809216,0.0991172,0.00010729185018219174,48.62153768421058
10457459,922.724308,0.09923409,0.0001075446795317329,48.564437263157856
10492438,0.009644,0.00000104,0.00010783907092492741,0.0005075789473684214
10499038,0.009743,0.00000103,0.00010571692497177462,0.0005127894736842095
10653898,0.010151,9.9e-7,0.00009752733720815683,0.0005342631578947373
10722066,359.579488,0.03506882,0.000097527309455427,18.925236210526293
10728895,0.010152,0.000001,0.00009850275807722616,0.0005343157894736848
10790882,1902.901539,0.18744105,0.00009850275810828486,100.15271257894756
10791006,0.010153,0.00000101,0.00009947798680193046,0.0005343684210526323
10815472,0.068055,0.00000677,0.00009947836308867828,0.003581842105263161
10824920,442.375292,0.04400676,0.00009947834066645838,23.282910105263113
10828834,0.068056,0.00000678,0.00009962383919125425,0.0035818947368421172
10834270,109071.819839,10.86615344,0.00009962383919182275,5740.622096789477
10834299,109511.819839,10.82262553,0.00009882609517320596,5763.779991526331
10834392,110785.949002,10.6985256,0.00009656933660248614,5830.8394211579
10834807,111145.349667,10.6640342,0.00009594674209897458,5849.75524563159
10835307,112200.626344,10.5640342,0.00009415307689648132,5905.296123368418
10835404,111958.970631,10.58690455,0.00009456057420260544,5892.5774016315845
10835517,111225.758609,10.65690455,0.00009581327817653277,5853.987295210522
10835897,110948.311319,10.68363435,0.00009629379864360692,5839.384806263159
10836303,111069.770334,10.6953301,0.00009629379864420239,5845.777385999987
10836707,110700.121214,10.73115134,0.00009693893034909212,5826.322169157895
10837354,110825.458983,10.71905134,0.00009672011682481948,5832.918893842114
10838196,110287.608125,10.77148333,0.00009766721314503076,5804.610953947369
10839716,110375.346426,10.76294666,0.00009751223446637974,5809.228759263147
10840171,110448.182854,10.75587019,0.00009738385831316068,5813.062255473691
10841248,110459.477787,10.75477366,0.00009736397342687538,5813.65672563159
10841873,110367.349258,10.76377817,0.00009752683418026175,5808.807855684223
10842743,110467.578196,10.7540413,0.00009735020424652888,5814.083062947364
10843688,111843.144764,10.62216854,0.00009497380069573167,5886.481303368419
10843879,111284.727185,10.67563009,0.00009593077468979914,5857.090904473691
10843887,110822.180064,10.72032187,0.00009673444308539135,5832.746319157886
10844572,110744.603182,10.72785408,0.00009687022005369976,5828.663325368427
10844629,110577.13097,10.74415061,0.00009716430979670589,5819.848998421046
10844880,110485.830331,10.75305582,0.00009732520258738481,5815.043701631585
10845331,110653.302543,10.73682998,0.0000970312655225781,5823.85802857895
10846597,110690.711899,10.73321222,0.00009696578905187225,5825.826942052634
10846863,110801.222516,10.72253925,0.0000967727522000187,5831.643290315798
10847943,111001.222516,10.70327743,0.00009642486080238624,5842.16960610525
10848406,110905.614615,10.71253212,0.00009659143188726469,5837.137611315804
10848481,110198.614981,10.78146716,0.00009783668480641881,5799.927104263159
10848725,111137.698412,10.69063769,0.0000961927216664916,5849.352547999995
10848905,111556.347954,10.65063769,0.00009547316567221945,5871.386734421045
10850383,111392.90422,10.6663121,0.00009575396363608699,5862.784432631597
10850541,111368.883165,10.66861963,0.00009579533642439216,5861.520166578965
10850555,110850.923138,10.71861963,0.0000966940042227364,5834.259112526313
10850887,110889.129865,10.71493762,0.00009662748398372962,5836.26999289474
10851068,111273.536332,10.67803238,0.00009596201156167637,5856.501912210515
10851313,111197.457663,10.68536002,0.00009609356404877107,5852.497771736831
10851415,111406.605885,10.66536002,0.00009573364106442098,5863.505572894734
10851811,111506.605885,10.65582392,0.00009556226588933807,5868.768730789481
10852685,111545.013768,10.65216585,0.00009549656672377308,5870.7901983157935
10853766,111256.142125,10.67990695,0.0000959938637635014,5855.586427631584
10853769,110323.50871,10.77046253,0.00009762617828183467,5806.500458421055
10855299,110324.50666,10.7703654,0.00009762441479291905,5806.552982105248
10855906,110430.045283,10.76010296,0.00009743818299109625,5812.107646473683
10855908,110549.266998,10.74853352,0.00009722844675392064,5818.382473578953
10857733,110886.874042,10.71590633,0.00009663818574181463,5836.1512653684185
10858214,110506.320208,10.75292005,0.00009730592811126428,5816.122116210521
10858627,111829.916426,10.62602798,0.00009501954682253069,5885.785075052627
10859248,110360.034936,10.76798154,0.000097571385748877,5808.42289136842
10859260,110970.920747,10.70888154,0.00009650169132519796,5840.574776157897
10860343,113258.629277,10.49320894,0.00009264820709013215,5960.980488263158
