block,reserve MKR,reserve DAI,price,volume for slippage 5%
10211213,0.2,92.4,462,0.01052631578947369
10219797,0.18545839124532806,99.666792853202,537.4078367872866,0.00976096796028042
10220285,1.185458391245328,637.0746296404885,537.4078367872866,0.06239254690764895
10223188,1.1724372256809938,644.1713127665129,549.4292561312653,0.06170722240426274
10226569,1.1795831181679748,640.2805714146187,542.8024202389794,0.06208332200884081
10227168,21.272082613643985,11546.537926209468,542.8024202389794,1.1195832954549445
10228241,20.98541417515291,11704.742474066275,557.7560860306913,1.1044954829027809
10228373,21.085414175152913,11649.397133511298,552.486047309375,1.1097586407975264
10229575,20.98301776065697,11706.416855300757,557.8995828355164,1.1043693558240513
10229691,20.8145469468196,11801.452502803715,566.9809932907015,1.0955024708852434
10230260,20.8745469468196,11767.632895698203,563.731175851512,1.0986603656220844
10230309,20.896271857919313,11755.43528346925,562.5613680468151,1.0998037819957531
10231484,21.013561717299186,11690.016578699482,556.308194487363,1.1059769324894297
10231806,20.798633972679085,11811.181704661949,567.8825696041876,1.0946649459304751
10231834,53.121917595205566,30167.011066267234,567.8825696041874,2.7958903997476625
10231860,52.994802909734396,30239.588159460574,570.6142206239999,2.7892001531439092
10231925,52.65856311135875,30433.257478700114,577.9355850318576,2.7715033216504565
10231950,51.8365684686355,30917.30279833485,596.4380689482143,2.7282404457176526
10231956,51.93143737122859,30860.99187203761,594.2641574010318,2.733233545854148
10232176,52.46786237122859,30546.409778439447,582.1927633017112,2.7614664405909792
10232504,51.97450253386417,30837.239284835596,593.3147559179328,2.7355001333612776
10232509,51.09225997174423,31371.327782301385,614.0133123813823,2.6890663143023303
10232519,50.801988060687904,31551.11633910314,621.0606620633089,2.673788845299363
10232598,49.801988060687904,32186.553913684453,646.2905431498525,2.621157266351993
10232608,49.936281772081315,32100.253551652215,642.8242634917008,2.6282253564253324
10232615,49.56509521227555,32341.371534799902,652.5029639565803,2.608689221698711
10232616,48.925214870443526,32765.62881325019,669.7084294880514,2.5750113089707085
10232689,48.95256201495504,32747.379313991085,668.9614999923137,2.576450632366047
10232696,49.95256201495504,32093.73720264937,642.4843072721874,2.629082211313417
10232710,49.52962697682682,32368.611253314735,653.5201904197437,2.6068224724645717
10232806,49.925771976826816,32112.541104953478,643.2056998509428,2.627672209306674
10232824,49.851329028191714,32160.63902994794,645.1310257297371,2.623754159378521
10232854,48.9811606723327,32733.703819314826,668.2917139977994,2.5779558248596146
10232934,48.78878471415386,32863.16238345068,673.5802618571255,2.5678307744291544
10232948,48.34180705227114,33167.9358348536,686.1128670467302,2.5443056343300583
10232976,48.01986394575216,33390.97518518091,695.3575550089555,2.52736126030274
10233018,47.88186401294672,33487.50062086506,699.3775474532573,2.5200981059445624
10233080,47.73186401294672,33593.05358672453,703.786752966798,2.5122033691024583
10233280,47.97982553120703,33419.96158638541,696.5419572992905,2.5252539753266845
10233444,48.00982553120703,33399.140995728354,695.6730341379488,2.526832922695114
10233678,47.23437647916846,33949.10621073537,718.7372575079461,2.4860198146930728
10233694,47.41295612176622,33821.61996668668,713.3413044279671,2.495418743250852
10233695,47.983905189245505,33420.377543742885,696.491405022893,2.5254686941708115
10234039,47.76893820794719,33571.22651863827,702.7836032799473,2.514154642523536
10234464,47.86893820794719,33501.304928862344,699.8547739523596,2.5194178004182675
10234685,47.966241598755204,33433.54829701259,697.0224721104736,2.5245390315134344
10234696,48.466241598755204,33089.656567143364,682.7361783298095,2.5508548209871194
10234832,48.167214636787584,33295.698643052165,691.2523153793215,2.535116559830932
10234922,48.705968189714646,32928.496109706466,676.0669653757145,2.5634720099849844
10234942,49.08288613687949,32676.383954449248,665.738845578951,2.5833097966778666
10235072,49.154095515447224,32629.18759251043,663.8142203686027,2.5870576587077494
10235141,49.15537818266982,32628.338716211114,663.7796294630998,2.587125167508937
10235247,48.719654259032495,32921.028128008315,675.7237634112488,2.5641923294227666
10235264,48.53689524583269,33045.36073601599,680.8297186840194,2.5545734339911874
10236100,48.535467970285744,33046.33542025338,680.8698216422869,2.5544983142255617
10236911,48.49997015653197,33070.59527986974,681.8683634883803,2.5526300082385234
10237027,48.449970156531975,33104.826576080544,683.2785751802447,2.5499984292911577
10237309,48.421292539684984,33124.49197853071,684.0893797162195,2.5484890810360525
10237645,48.40677917638004,33134.45327687959,684.5002671247224,2.547725219809479
10237755,48.37168328466621,33158.56619278396,685.4953960904479,2.5458780676140123
10238711,48.31017179194363,33200.912765727444,687.2447671830498,2.5426406206286103
10240191,48.540845705105575,33043.607769030845,680.7381966473503,2.5547813529002923
10240195,48.580845705105574,33016.48221545579,679.6193383678775,2.556886616058179
10240360,48.830845705105574,32847.951761575445,672.6885698426678,2.5700445107950287
10241101,49.302240931424485,32534.814729788683,659.9053940578895,2.594854785864449
10242126,49.13385318763827,32646.651040947654,664.4431267434429,2.5859922730335896
10242401,49.05776772937623,32697.436263133415,666.508848170723,2.581987775230324
10243001,48.82575492861638,32853.277190302986,672.8677772281192,2.569776575190332
10243143,48.80752946492797,32865.58201131736,673.3711452232766,2.568817340259372
10243169,48.432943683550896,33120.532936253265,683.8430707960844,2.5491022991342547
10243477,48.33775479152802,33185.951643168555,686.5430921707793,2.5440923574488465
10244125,47.80454108740297,33557.222847650286,701.9672626141576,2.516028478284369
10244505,48.07339108740297,33370.11425194945,694.149372389369,2.5301784782843697
10245142,1.043720861100751,724.498180682778,694.149372389369,0.054932676900039557
10246318,1.0883823826134134,694.8541034968703,638.4282900908348,0.057283283295442855
10247422,1.1162693190993491,677.5458536990235,606.9734625024852,0.05875101679470274
