block,reserve MKR,reserve USDC,price,volume for slippage 5%
10166962,5,2600.98887,520.197774,0.2631578947368425
10168653,5.1,2550.139097,500.0272739215687,0.2684210526315791
10170125,4.99809091465249,2602.291877,520.657171195321,0.26305741656065784
10173211,5.058090914652491,2571.514526,508.39626439903014,0.26621531129749965
10174290,5.20457931369302,2499.347566,480.22086231337204,0.27392522703647426
10177076,5.255199735146908,2475.34427,471.0276287778056,0.2765894597445744
10179154,5.425106417449384,2398.045289,442.02732711139004,0.28553191670786227
10179449,5.355591291631017,2429.265376,453.5942426742165,0.2818732258753167
10181559,5.467695388676449,2480.115148,453.5942424913241,0.2877734415092865
10181699,5.463788150181117,2481.894053,454.2441955619616,0.287567797377954
10186925,5.5202887342804505,2456.567104,445.00699551183976,0.2905415123305506
10187421,5.810398734280451,2334.261711,401.73864441147873,0.30581045969897147
10187489,5.615801136220652,2415.391462,430.10630245100197,0.295568480853718
10187553,5.753740166789595,2357.65491,409.76040656272755,0.3028284298310311
10187759,5.6933913430730465,2382.720784,418.50641215783884,0.29965217595121274
10187800,5.671680304326443,2391.86922,421.7214461427676,0.2985094897013916
10188852,5.619277219068045,2414.241934,429.63567019040954,0.2957514325825281
10188965,5.607698319068045,2419.241915,431.41441949075084,0.2951420167930552
10189314,5.547664322618657,2445.500494,440.8162339652254,0.2919823327694031
10191046,5.687544322618657,2385.531635,419.4308650067195,0.29934443803256094
10192523,5.67634682703293,2390.251635,421.08977971830575,0.2987550961596277
10194471,5.697124730979965,2381.560239,418.0284532036824,0.2998486700515768
10194530,5.6769022067305475,2390.069471,421.0164952579821,0.2987843266700283
10198017,5.636470996114663,2407.265368,427.08733348568245,0.29665636821656083
10201484,5.625287004545087,2412.065807,428.78982086622653,0.2960677370813203
10202347,5.569311020374569,2436.381926,437.46558902651105,0.2931216326512933
10202501,5.701500126774569,2380.060031,417.44452829582565,0.30007895404076645
10203927,6.991569303748043,2918.59235,417.4445282885775,0.3679773317762134
10204286,6.845576166514568,2981.023411,435.4671306678034,0.3602934824481343
10206791,6.831792357485224,2987.056015,437.22874740583194,0.3595680188150121
10207959,6.718217613340578,3037.705602,452.15945312160346,0.353590400702136
10208206,6.69917903843662,3046.364515,454.73699053592196,0.3525883704440327
10208598,6.636606861556469,3075.173097,463.3652649840383,0.3492950979766558
10209070,6.46160600367399,3158.709181,488.84273959198333,0.3400845265091572
10209981,6.646325606004749,3071.176066,462.08630874558537,0.3498066108423554
10213644,6.594285902414079,3095.485598,469.419379718854,0.34706767907442515
10214091,6.5387368310596115,3121.862062,477.4411545622793,0.34414404373997964
10214637,6.493517084640867,3143.667594,484.12401985292763,0.34176405708636093
10214665,6.411794253177815,3183.856417,496.5624739786396,0.3374628554304113
10218957,6.264664414319648,3258.856417,520.1964864312555,0.32971917970103437
10219840,6.176547057551845,3305.488603,535.167719471755,0.3250814240816755
10222885,6.062130821786424,3368.063891,555.5907633823513,0.3190595169361279
10226569,6.140735639143214,3325.078497,541.4788540651022,0.323196612586484
10227130,81.26612410557662,44003.887754,541.4788540527969,4.277164426609303
10227527,80.88105915640166,44214.015329,546.654751930267,4.256897850336927
10227634,80.67179398435407,44329.052989,549.4987876133933,4.245883893913373
10227830,80.49076306813116,44429.052989,551.9770380533374,4.236355950954277
10228252,79.55365554857784,44953.982731,565.0775243577557,4.187034502556713
10228254,79.75321598847135,44841.834394,562.2573815767137,4.1975376836037555
10228348,80.78328223716197,44271.750457,548.0310929559395,4.251751696692722
10229031,80.3164765784424,44529.835597,554.4296449995438,4.227182977812745
10229560,79.39140637752634,45050.259373,567.4450350302973,4.178495072501391
10230125,81.16293607457679,46055.505103,567.4450350179764,4.2717334776093026
10230260,81.40293607457679,45920.125973,564.1089644595936,4.284365056556666
10230309,81.59846027447419,45810.42262,561.4128313929781,4.294655803919696
10231770,81.1701245893068,46052.892158,567.3625904975748,4.27211182048984
10231809,81.20012458930678,46035.928594,566.9440635324155,4.273690767858241
10231860,80.94494992217543,46181.491108,570.5296149099014,4.260260522219767
10231923,79.28663927591988,47150.30124,594.6815462301983,4.172981014522108
10231925,79.44217610437843,47059.986214,592.3803767934083,4.181167163388338
10232176,79.97860110437843,46745.290449,584.4724689294538,4.209400058125183
10232268,78.23292168838367,45724.988891,584.4724689323399,4.117522194125456
10232504,77.73896289039972,46016.402905,591.934870161263,4.0915243626526205
10232507,76.37004892437132,46843.717325,613.378123816432,4.019476259177438
10232519,76.07983215933072,47022.946681,618.0737436765353,4.0042016925963395
10232576,75.44868234461765,47417.490716,628.4734105682187,3.9709832812956734
10232602,74.4995198979898,48023.431916,644.6139784760654,3.92102736305209
10232612,73.51941439879492,48665.570582,661.9417602814542,3.869442863094463
10232631,73.21964067812172,48865.415278,667.3812494220714,3.8536652988485116
10232648,72.27476177155476,49506.176057,684.9718330926991,3.803934830081829
10232668,72.9234553423719,49067.101285,672.8576019146716,3.8380765969669426
10232696,73.37899119141531,48763.401509,664.5417266884542,3.8620521679692246
10232725,74.37899119141531,48109.734775,646.8188665155321,3.9146837469165945
10232729,74.32899119141531,48142.194854,647.6906800742403,3.912052167969236
10232730,73.81277097702124,48479.897315,656.7955202507212,3.884882683001109
10232796,73.92262262485023,48408.070271,654.8478470070795,3.8906643486763244
10232872,73.81181558797526,48480.959619,656.818413594179,3.884832399367113
10232898,73.51076307242876,48680.103689,662.217363204847,3.868987530127825
10232937,72.45283910358992,49393.047634,681.7268756491374,3.8133073212415667
10232957,72.24321445706792,49536.800313,685.6948529392793,3.8022744451088357
