block,reserve COMP,reserve DAI,price,volume for slippage 5%
10279073,1.05,70,66.66666666666666,0.0552631578947369
10279383,0.9196613361510262,79.95057592349755,86.93480173702564,0.04840322821847509
10279678,1.022176269188086,71.95391318372474,70.39286212433565,0.05379875100989917
10279792,1.0188931107922852,72.18646646382354,70.84792869753704,0.053625953199593956
10284426,1.1594771189912483,63.4571009018453,54.729066975511635,0.061025111525855325
10284750,1.0594771189912484,69.46459685395769,65.56498069547408,0.055761953631118244
10287946,1.0847571189912484,67.85048508919036,62.54901111161803,0.057092479946907915
10289908,1.0493764224480966,70.14501051819397,66.84446974189896,0.0552303380235839
10289926,0.9022570232214314,81.61706756169944,90.45877777741501,0.04748721174849646
10289956,0.8022570232214314,91.82111104885622,114.45348359825157,0.04222405385375949
10290022,0.7688008896857724,95.82894072627452,124.64728125567355,0.040463204720303736
10290102,0.89729172698113,82.14166700354006,91.54399236455626,0.04722588036742781
10290152,0.8763031213655815,84.11498729805975,95.98846021109645,0.04612121691397786
10290216,0.7611214203025446,96.8825432274828,127.2892085851061,0.040059022121186505
10291237,0.7268739948099544,101.46100055182582,139.58540445287687,0.03825652604262919
10291622,0.6643771348319504,111.03398829293167,167.12493924255378,0.03496721762273425
10291994,1.6643771348319505,278.1589275354854,167.12493924255375,0.08759879657010283
10292021,1.8503991564673874,250.2708806942493,135.25237504541644,0.09738942928775707
10292063,1.779509142797112,260.2708806942493,146.25992889541658,0.0936583759366898
10292626,1.8072500442634063,256.28758024658663,141.8108031371185,0.0951184233822846
10292882,1.7619313429683463,262.89939803865116,149.21092078181746,0.09273322857728128
10293191,1.7181245762403705,269.62267471090024,156.9284779692129,0.09042760927580895
10293782,1.722899671086827,268.8776388174244,156.06111216436238,0.09067893005720173
10295060,0.6877378468643466,107.32913325917389,156.0611121643624,0.03619672878233404
10295540,0.618342747899248,119.41066479157831,193.1140378006583,0.03254435515259191
10295999,0.568342747899248,129.94743816982836,228.64273125706282,0.02991277620522359
10296313,0.5827223311915569,126.75016552834937,217.5138290464504,0.030669596378502972
10297084,0.5999206861838672,123.12711728125502,205.23899261496427,0.031574772957045694
10297991,1.7672942930564206,362.7177003610752,205.23899261496425,0.09301548910823265
10298144,1.6910695114172638,379.11635880380277,224.18733011517082,0.08900365849564551
10298539,1.6779729051164571,382.33435223959816,227.85490222982048,0.08831436342718191
10298799,1.727279708817463,371.4520733506146,215.05033113885162,0.0909094583588137
10299002,1.6927140190468064,379.0600516516016,223.93626294006606,0.08909021152877927
10299304,1.7257140190468063,371.83279955786503,215.46605952893975,0.09082705363404231
10299554,1.936781787284167,417.31073987353665,215.46605952893975,0.10193588354127181
10299619,1.9422817872841671,416.1325674286714,214.249327853986,0.10222535722548232
10299883,1.9379567727494986,417.0640613674547,215.20813427419242,0.10199772488155268
10299903,1.9337624336069537,417.97139714073717,216.14412912196008,0.10177697018984011
10300086,1.935857964665993,417.52030657514473,215.67713861031245,0.10188726129821002
10300198,1.9450332146296316,415.55663076688086,213.65014625007836,0.10237016919103348
10300356,1.9345028629189054,417.8254952572821,215.98597927471633,0.10181594015362672
10301072,1.9813975671695767,407.9655816910741,205.89789169563394,0.10428408248260923
10301162,1.9963975671695768,404.9094455282919,202.82004555954174,0.1050735561668199
10303047,1.7788329546853545,360.7829809120979,202.82004555954177,0.09362278708870297
10303336,1.7733370388503347,361.9044819308647,204.08104832992694,0.09333352836054387
10303573,1.6316649746917589,393.42200169153034,241.11690070803442,0.08587710393114523
10303656,1.6805807453079622,382.00423295332337,227.30489684583532,0.08845161817410307
10303720,1.7379787416666164,369.4248703260251,212.5600627150186,0.09147256535087456
10304804,1.6379787416666163,392.04643862478736,239.34769643340218,0.0862094074561377
10305013,1.6317542533268923,393.54643862478736,241.1799680144284,0.08588180280667856
10305240,1.4483000294259647,443.54643862478736,306.2531447994153,0.0762263173382085
10305242,1.6101140089271244,399.0910283817066,247.86507425498087,0.08474284257511178
10305331,1.6082935853110851,399.5441178189694,248.42735273466093,0.08464703080584646
10305467,1.5720623584844717,408.78009505488825,260.0279135548846,0.0827401241307617
10305866,1.531706821474146,419.58254011779,273.93136482474836,0.08061614849863918
10306262,1.5138501335106238,424.54663730617716,280.44165529229235,0.07967632281634862
10306350,1.4538501335106238,442.120282614728,304.10306566271487,0.0765184280795066
10306586,1.4426510341649061,445.56272821888376,308.84996972036447,0.0759290017981531
10307176,1.4992668577097594,428.785813232845,285.9969931489361,0.07890878198472429
10307314,1.534925552626173,418.8536473703417,272.8820604059306,0.08078555540137766
10307477,1.4560534167347274,441.61056499174305,303.2928324718174,0.07663439035445929
10307559,1.4988315721528525,429.04329279686516,286.2518382773371,0.07888587221857124
10308098,1.4715623605039625,437.01772684311373,296.9753362633231,0.07745065055284028
10308175,1.4684932240040536,437.9338379585533,298.2198561083346,0.07728911705284514
10308251,1.4351411533994352,448.14185833302736,312.263262238358,0.07553374491575982
10308608,1.365917541802836,470.9216697206719,344.7658114845759,0.07189039693699151
10309248,1.361796512154906,472.3510475392971,346.85875850265546,0.07167350063973199
10309371,1.3297775335735473,483.7587505667833,363.7892341787165,0.06998829124071304
10309512,1.3664872153007055,470.80086796260645,344.5336792697349,0.07192037975266863
10309584,1.3809398210038537,465.8881995676278,337.3703853575294,0.07268104321072921
10309661,1.3546082235979169,474.9716332680947,350.6339508308483,0.07129516966304839
10309714,1.3520287222626513,475.8805463494291,351.97517516716067,0.0711594064348764
10309737,1.38497300534006,464.59395359597727,335.45343613531514,0.0728933160705294
