block,reserve TUSD,reserve WBTC,price,volume for slippage 5%
11166046,8239.545240469495,0.5989,0.0000726860503245291,433.6602758141835
11169504,7606.417949159431,0.6489,0.0000853095378583172,400.3377867978652
11169505,7828.830440083985,0.63051887,0.00008053806693420173,412.0437073728417
11169506,8216.729769807971,0.60083813,0.00007312375444154857,432.459461568842
11177495,8120.6617082963085,0.60796748,0.0000748667413862201,427.4032478050676
11178812,8180.6617082963085,0.60352171,0.00007377419229888782,430.56114254191107
11178830,10276.65713951069,0.75815208,0.00007377419229888782,540.8766915531942
11186444,10352.890364456161,0.75258608,0.00007269333041367849,544.8889665503248
11192281,10432.981813971122,0.74682587,0.00007158316608966986,549.1043059984804
11193475,10477.656212305243,0.74365109,0.00007097494658458406,551.4555901213298
11193812,10457.221212626007,0.74510867,0.00007125302743910197,550.380063822422
11195890,10610.096616567133,0.73440453,0.00006921751578145521,558.4261377140592
11197226,10706.3850000501,0.72781927,0.00006797992693113448,563.4939473710583
11199112,10726.57272297389,0.7264536,0.0000677246701962968,564.5564591038874
11199221,10816.72166823014,0.72041719,0.000066602175048651,569.3011404331646
11200043,11010.297739195887,0.70778861,0.00006428423887941943,579.4893546945204
11202552,14032.049779604495,0.90203964,0.00006428423887941943,738.5289357686579
11212003,13795.04888852316,0.91758344,0.00006651541777161709,726.0552046591129
11212301,13467.04888852316,0.93999912,0.00006979993373314941,708.792046764378
11212521,13675.441284041948,0.92571732,0.00006769195236721403,719.7600675811555
11216347,13793.357729501076,0.91782711,0.00006654123876139034,725.9661962895298
11216481,13815.473854801232,0.91636224,0.00006632868692242073,727.1302028842765
11216630,13826.774789809557,0.91561553,0.00006622047034965926,727.7249889373452
11217337,13873.774789809557,0.91252299,0.00006577323070504636,730.1986731478719
11217955,14017.909400249944,0.90316813,0.00006442958819407808,737.7847052763118
11218101,14027.909400249944,0.90252623,0.00006433789984300292,738.3110210657869
11218132,60659.186413036725,3.90268465,0.00006433789967814742,3192.5887585808814
11218278,60659.835076551826,3.90264305,0.00006433652589188417,3192.622898765876
11218831,60649.1356041823,3.90333361,0.00006435926202600041,3192.0597686411857
11218975,60253.60122504991,3.92903412,0.00006520828697565944,3171.242169739475
11219750,60623.07996539848,3.90515929,0.00006441703872896143,3190.6884192315047
11220763,60809.64940285418,3.89321375,0.00006402295997807985,3200.507863308114
11220882,60386.58208078146,3.92057161,0.00006492454904560255,3178.241162146398
11222742,61226.48365533952,3.86694857,0.00006315810314647665,3222.446508175759
11223668,60829.18993245165,3.89228077,0.00006398705579216525,3201.536312234297
11224129,60027.00880749951,3.94445244,0.00006571129427170787,3159.3162530262853
11225561,60528.6947277855,3.91185652,0.00006462813278219058,3185.720775146612
11226236,60219.78379086804,3.93198365,0.00006529388520648029,3169.4623047825226
11226690,60206.79323035908,3.93283459,0.00006532210700796603,3168.778591071532
11228834,61064.36648660619,3.87776619,0.00006350292999192166,3213.914025610844
11228857,60927.5846924266,3.88649793,0.0000637888068207486,3206.714983811922
11229370,60733.65525539712,3.8989453,0.00006419744182371632,3196.5081713366963
11229593,60536.62579404778,3.91167344,0.00006461664139174094,3186.138199686713
11229886,59878.64052947989,3.95478678,0.00006604670288152167,3151.50739628842
11229889,60018.7169633756,3.94558442,0.00006573923301972049,3158.8798401776658
11231156,60110.50886216598,3.93957736,0.00006553891215649981,3163.7109927455895
11231962,60362.373608429705,3.92318841,0.00006499393869846297,3176.9670320226214
11233128,61112.373608429705,3.87518386,0.0000634107895207897,3216.440716233141
11233130,60915.78765524157,3.88772739,0.00006382134319600276,3206.09408711797
11234535,60366.1355794732,3.92323285,0.00006499062450063558,3177.1650304985815
11236274,60666.443213440696,3.90387026,0.00006434974679931614,3192.9706954442518
11236461,60735.71864286052,3.89943084,0.00006420325513771421,3196.6167706768756
11237669,61251.23864156756,3.86670898,0.00006312866589731126,3223.749402187772
11237681,61274.85094419049,3.86522341,0.00006308009485850026,3224.9921549573846
11238732,60882.25007172559,3.89022341,0.00006389749730696408,3204.328951143456
11242333,61067.60125878332,3.8784512,0.00006351078346052056,3214.0842767780705
11242943,61126.050675292216,3.8747537,0.0000633895639779361,3217.160561857483
11243580,62126.050675292216,3.81256858,0.00006136827528160057,3269.792140804864
11243655,61950.465904506455,3.82340697,0.0000617171624809665,3260.5508370792886
11243670,61590.28980288466,3.84583329,0.00006244220155982892,3241.594200151827
11245243,61617.686328985124,3.84412848,0.00006238677089359831,3243.036122578167
11245641,61917.83792992538,3.8255494,0.00006178428588429573,3258.8335752592393
11246163,62517.83792992538,3.7889437,0.00006060580188724582,3290.412522627659
11250497,61687.75658142995,3.84008181,0.0000622503073998316,3246.724030601581
11250891,61981.98032103989,3.82190767,0.00006166159342125193,3262.2094905810445
11251008,62842.87339948475,3.76970577,0.00005998620951076543,3307.5196526044674
11251088,62587.03478265503,3.78516166,0.00006047836701554354,3294.0544622450107
11251347,62581.4865098141,3.78549825,0.000060489107260281416,3293.762447884961
11251980,62398.2157643066,3.79665015,0.00006084549219068829,3284.116619174034
11252918,62212.79600965075,3.80799978,0.00006120926922187011,3274.3576847184668
11254758,61771.03471344613,3.83531499,0.0000620892139461789,3251.1070901813728
11255295,61602.30467771918,3.84585161,0.00006243032026350466,3242.226561985226
11264539,61428.71794790565,3.85675201,0.0000627841852937693,3233.090418310814
11267345,61836.602862988664,3.83138803,0.0000619598725125506,3254.558045420461
11269308,61942.41269622434,3.82486287,0.0000617486904935032,3260.126984011811
11269416,62625.93816155273,3.78324061,0.000060410122723280884,3296.1020085027776
