block,reserve SUSHI,reserve USDC,price,volume for slippage 5%
11404082,4957.927564080659,11135,2.245898080615614,260.9435560042457
11404134,5011.152218512744,11017.083529,2.1985130462210845,263.7448536059337
11404384,4970.836086325004,11106.706823,2.2343739825891777,261.6229519118424
11404889,5055.842531805579,10920.514963,2.159979250599798,266.0969753581876
11405090,5042.842531805579,10948.751791,2.1711468724128142,265.41276483187266
11405291,4957.685183905767,11137.382603,2.246488469892261,260.93079915293583
11405350,4918.563863076412,11226.233778,2.282421066497718,258.8717822671788
11405463,4842.206646298046,11403.794006,2.3550820605143743,254.8529813841078
11405586,4792.789349297247,11521.729587,2.403971622222328,252.2520710156441
11405640,4761.471211206152,11597.740735,2.435747318539834,250.60374795821826
11405692,4773.308111206151,11569.066602,2.4236999440366427,251.22674269506115
11406011,4737.7455418410345,11656.167887,2.460277316301488,249.355028517949
11406161,4772.478640651343,11571.589389,2.4246498015590325,251.18308635007088
11406212,4766.97825891841,11584.981453,2.4302568259727164,250.89359257465276
11406425,4764.97825891841,11589.858639,2.432300423891284,250.78832941675864
11406605,4716.799784661462,11708.596325,2.482317855227845,248.25262024533913
11406887,4742.645610705192,11644.978791,2.4553761227098074,249.61292687922105
11407044,4779.882381977021,11554.530823,2.4173253439388804,251.57275694615964
11407408,4823.921279265047,11449.359923,2.37345496747915,253.8905936455285
11407870,4739.350021173986,11654.282617,2.459046612917844,249.43947479863073
11407902,4784.519167389284,11544.585154,2.412903940836213,251.81679828364668
11408070,4736.646429984238,11661.616033,2.4619984213258674,249.2971805254856
11408361,4696.4941504481385,11761.616033,2.50433954695285,247.18390265516427
11408510,4726.4941504481385,11687.185256,2.4726964392607766,248.762850023586
11408536,4731.255102590674,11675.45996,2.4677299589292736,249.01342645214027
11408695,4772.755102590674,11574.241569,2.425065045285363,251.1976369784561
11408884,4820.678236731269,11459.521944,2.3771596819476373,253.71990719638325
11410236,10833.291164374148,25752.462978,2.3771596818784246,570.1732191775864
11410322,10778.291164374148,25884.269346,2.4015188448013127,567.2784823354814
11410323,10759.943439410716,25928.539699,2.409728252290889,566.3128126005631
11410380,10711.091274560484,26047.152891,2.4317926365601634,563.7416460295008
11410420,10713.257658109198,26041.901559,2.4308107197709443,563.8556662162737
11410798,10776.255537597084,25890.11493,2.402514940340125,567.1713440840576
11410893,10720.947682823307,26024.080272,2.4274048378852537,564.2604043591218
11410995,10887.291420285112,25627.640642,2.3539041670411054,573.015337909741
11411026,10948.383086358615,25485.065755,2.3277469882062944,576.230688755717
11411160,10958.383086358615,25461.879233,2.3235069473612264,576.7570045451885
11411235,11070.12661737314,25205.626465,2.2769049836740813,582.6382430196372
11411319,11060.65099358609,25227.285019,2.2808137634601193,582.1395259782148
11411542,11082.65140458609,25177.355731,2.271780895371428,583.2974423466367
11411605,10997.65140458609,25372.535111,2.307086684018689,578.82375813611
11412152,11035.59846015997,25285.549846,2.2912712833186455,580.8209715873654
11412219,11077.254126423433,25190.748517,2.2740968320759705,583.0133750749173
11412328,11033.585377897203,25290.748517,2.292160494598896,580.7150198893269
11412590,10927.2623362734,25537.569767,2.3370510363082633,575.1190703301781
11412738,10971.875732274468,25434.040194,2.318112309564732,577.4671438039204
11413139,11152.062442601105,25024.308908,2.243917574600966,586.9506548737427
11413180,11060.866576314198,25231.252953,2.2811280453405294,582.150872437589
11413562,11010.765576699961,25346.405231,2.30196574928776,579.5139777210516
11413772,11069.741199944767,25211.771605,2.277539388646755,582.6179578918291
11413859,11120.589380927351,25096.836659,2.2567901573672855,585.294177943546
11413881,11187.444130423148,24947.308387,2.2299381428112133,588.8128489696392
11414264,11235.863130423148,24840.123429,2.2107890725137826,591.3612173906931
11414348,11446.062469215374,24385.294512,2.130452684282057,602.4243404850204
11414363,11506.062469215374,24258.513423,2.108324501792336,605.5822352218602
11414526,11481.062469215374,24311.495253,2.1175300908071333,604.2664457481769
11414748,11315.889057314716,24667.431734,2.1798933878778795,595.5731082797229
11414776,11497.160110275514,24279.658782,2.1117961782840795,605.1136900145011
11414930,11473.424400487773,24330.038599,2.120555969146025,603.8644421309345
11415479,11561.904506550534,24144.401752,2.0882720263189083,608.5212898184491
11415489,11505.415411035314,24263.302232,2.1088592949654017,605.5481795281739
11415548,11545.415411035314,24179.491428,2.094293757926528,607.653442686069
11415777,11445.415411035314,24391.386299,2.1311053747758764,602.3902847913305
