,blocknumber, WBTC , USDP , USDT , FEI , ZRX , TUSD , AAVE , SUSHI , USDC , YFI , MKR , DAI , COMP , WETH , LINK , BAT , UNI ,block_timestamp, WBTC _price, USDP _price, USDT _price, FEI _price, ZRX _price, TUSD _price, AAVE _price, SUSHI _price, USDC _price, YFI _price, MKR _price, DAI _price, COMP _price, WETH _price, LINK _price, BAT _price, WBTC _price_eth, WBTC liquidity USDT, WBTC 30_day_price_volatiliy, WBTC 30_day_price_volatiliy_eth, USDP _price_eth, USDP liquidity USDT, USDP 30_day_price_volatiliy, USDP 30_day_price_volatiliy_eth, USDT _price_eth, USDT liquidity USDT, USDT 30_day_price_volatiliy, USDT 30_day_price_volatiliy_eth, FEI _price_eth, FEI liquidity USDT, FEI 30_day_price_volatiliy, FEI 30_day_price_volatiliy_eth, ZRX _price_eth, ZRX liquidity USDT, ZRX 30_day_price_volatiliy, ZRX 30_day_price_volatiliy_eth, TUSD _price_eth, TUSD liquidity USDT, TUSD 30_day_price_volatiliy, TUSD 30_day_price_volatiliy_eth, AAVE _price_eth, AAVE liquidity USDT, AAVE 30_day_price_volatiliy, AAVE 30_day_price_volatiliy_eth, SUSHI _price_eth, SUSHI liquidity USDT, SUSHI 30_day_price_volatiliy, SUSHI 30_day_price_volatiliy_eth, USDC _price_eth, USDC liquidity USDT, USDC 30_day_price_volatiliy, USDC 30_day_price_volatiliy_eth, YFI _price_eth, YFI liquidity USDT, YFI 30_day_price_volatiliy, YFI 30_day_price_volatiliy_eth, MKR _price_eth, MKR liquidity USDT, MKR 30_day_price_volatiliy, MKR 30_day_price_volatiliy_eth, DAI _price_eth, DAI liquidity USDT, DAI 30_day_price_volatiliy, DAI 30_day_price_volatiliy_eth, COMP _price_eth, COMP liquidity USDT, COMP 30_day_price_volatiliy, COMP 30_day_price_volatiliy_eth, WETH _price_eth, WETH liquidity USDT, WETH 30_day_price_volatiliy, WETH 30_day_price_volatiliy_eth, LINK _price_eth, LINK liquidity USDT, LINK 30_day_price_volatiliy, LINK 30_day_price_volatiliy_eth, BAT _price_eth, BAT liquidity USDT, BAT 30_day_price_volatiliy, BAT 30_day_price_volatiliy_eth, UNI _price, UNI _price_eth, UNI liquidity USDT, UNI 30_day_price_volatiliy, UNI 30_day_price_volatiliy_eth,LINK_Liq_div_max_supply,AAVE_Liq_div_max_supply,UNI_Liq_div_max_supply,YFI_Liq_div_max_supply,COMP_Liq_div_max_supply,SUSHI_Liq_div_max_supply,MKR_Liq_div_max_supply,BAT_Liq_div_max_supply,ZRX_Liq_div_max_supply,T_LTV_A_LINK,T_LTV_A_AAVE,T_LTV_A_UNI,T_LTV_A_YFI,T_LTV_A_COMP,T_LTV_A_SUSHI,T_LTV_A_MKR,T_LTV_A_BAT,T_LTV_A_ZRX,T_LTV_B_LINK,T_LTV_B_AAVE,T_LTV_B_UNI,T_LTV_B_YFI,T_LTV_B_COMP,T_LTV_B_SUSHI,T_LTV_B_MKR,T_LTV_B_BAT,T_LTV_B_ZRX,T_LTV_C_LINK,T_LTV_C_AAVE,T_LTV_C_UNI,T_LTV_C_YFI,T_LTV_C_COMP,T_LTV_C_SUSHI,T_LTV_C_MKR,T_LTV_C_BAT,T_LTV_C_ZRX,T_LTV_A_ETH_LINK,T_LTV_A_ETH_AAVE,T_LTV_A_ETH_UNI,T_LTV_A_ETH_YFI,T_LTV_A_ETH_COMP,T_LTV_A_ETH_SUSHI,T_LTV_A_ETH_MKR,T_LTV_A_ETH_BAT,T_LTV_A_ETH_ZRX
10,10062000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903661272949834,0.0,0.0,13.557813845513833,0.0,0.06265802845068756,0.0,0.05263157894736829,0.0,2020-05-14,10906.27,1.0,0.9983,0.9983,0.3821,0.9976,37.895,2.711,0.998,15275.0,567.72,0.9983,136.69,316.77,7.2333,0.2511,34.42961770369669,0.0,,,0.003156864602077217,0.0,,,0.0031514979322536858,0.0,,,0.0031514979322536858,0.0,,,0.0012062379644537046,0.0,,,0.003149288127032232,0.0,,,0.11962938409571615,0.0,,,0.008558259936231336,0.0,,,0.0031505508728730627,2.0861853950403932,,,48.221106796729494,0.0,,,1.7922151718912778,0.0,,,0.0031514979322536858,13.534765561976458,,,0.4315118224579348,0.0,,,1.0,19.848183672324296,,,0.022834548726205134,0.0,,,0.0007926887015815892,0.013215789473684177,,,4.8458,0.015297534488745778,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10068500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5092674332925315,0.0,0.0,15.349946889018936,0.0,0.07859013037385756,0.0,0.05263157894736829,0.0,2020-05-15,11100.53,1.0006,0.9992,0.9992,0.3836,1.0004,35.95,2.629,1.0001,12296.34,593.0,0.9992,133.18,317.71,7.0876,0.2476,34.93918982720091,0.0,,,0.0031494129866859715,0.0,,,0.0031450064524251677,0.0,,,0.0031450064524251677,0.0,,,0.0012073903874602625,0.0,,,0.003148783481791571,0.0,,,0.11315350476849959,0.0,,,0.008274841836895282,0.0,,,0.0031478392244499703,2.5095183600358606,,,38.70303106606654,0.0,,,1.8664820118976426,0.0,,,0.0031450064524251677,15.337666931507721,,,0.41918730918132896,0.0,,,1.0,24.968870321078285,,,0.022308394447766833,0.0,,,0.0007793270592678859,0.013031578947368389,,,4.2503,0.013377923263353374,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10075000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.507479906698566,0.0,0.0,20.433794531251493,0.0,0.1251303113930988,0.0,0.0526315789473683,0.0,2020-05-16,11099.61,0.9997,0.9992,0.9992,0.3879,0.9993,34.869,2.329,0.9993,14034.28,584.49,0.9992,133.0,334.87,7.4093,0.2471,33.146026816376505,0.0,,,0.002985337593693075,0.0,,,0.0029838444769612086,0.0,,,0.0029838444769612086,0.0,,,0.0011583599605817184,0.0,,,0.002984143100307582,0.0,,,0.1041269746468779,0.0,,,0.006954937737032282,0.0,,,0.002984143100307582,7.5022246707638764,,,41.90963657538747,0.0,,,1.7454235972168304,0.0,,,0.0029838444769612086,20.41744749562649,,,0.39716905067638186,0.0,,,1.0,41.902387376206995,,,0.02212589960283095,0.0,,,0.0007378982888882253,0.013005263157894706,,,4.3826,0.013087466778152717,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10081500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.506930084455302,0.0,0.0,32.31952739196308,0.0,0.12500860183281948,0.0,0.05263157894736829,0.0,2020-05-17,11335.46,0.9996,0.9985,0.9985,0.3808,0.9998,32.422,2.462,0.9995,12571.37,592.67,0.9985,134.63,346.33,7.8033,0.2525,32.73022839488349,0.0,,,0.002886264545375798,0.0,,,0.002883088383911299,0.0,,,0.002883088383911299,0.0,,,0.0010995293506193516,0.0,,,0.002886842029278434,0.0,,,0.09361591545635665,0.0,,,0.007108826841451796,0.0,,,0.00288597580342448,18.497676619413074,,,36.298819045419116,0.0,,,1.7112869228770247,0.0,,,0.002883088383911299,32.271048100875134,,,0.38873328905956744,0.0,,,1.0,43.294229072760366,,,0.022531400687205844,0.0,,,0.0007290734270782202,0.013289473684210493,,,4.1554,0.01199838304507262,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10088000,0.10475487932680529,32.22420121719788,287.8669903904529,0.0,159.92980784070076,23.064594137224564,0.0,0.0,1065.0790126548345,0.0,1.6369503302024113,1009.2076826407466,0.0,10.804873289759733,104.14063561227681,1076.0716248306237,0.0,2020-05-18,11801.17,0.9995,0.9987,0.9987,0.3992,0.9978,29.244,1.757,0.9977,14466.02,586.7,0.9987,137.89,387.0,8.3248,0.2586,30.493979328165373,1236.2301392651148,,,0.0025826873385012923,32.208089116589285,,,0.0025806201550387597,287.4927633029453,,,0.0025806201550387597,0.0,,,0.0010315245478036176,63.843979290007745,,,0.002578294573643411,23.01385203012267,,,0.07556589147286821,0.0,,,0.004540051679586563,0.0,,,0.002578036175710594,1062.6293309257285,,,37.37989664082687,0.0,,,1.5160206718346254,960.3987587297548,,,0.0025806201550387597,1007.8957126533137,,,0.35630490956072347,0.0,,,1.0,4181.485963137016,,,0.02151111111111111,866.949963345082,,,0.0006682170542635659,278.2721221811993,,,4.2397,0.010955297157622739,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10094500,0.6936664151555024,79.87703791006702,904.1469525633972,0.0,1560.3933603764426,130.55043611879006,0.0,0.0,8312.872854025116,0.0,15.443130766686362,15034.636016503493,0.0,124.85898100091013,565.8688708558085,16578.13513974272,0.0,2020-05-19,11071.35,0.9991,1.0,1.0,0.3795,0.9998,31.087,1.518,0.9998,13510.2,579.36,1.0,127.39,372.42,8.2814,0.2429,29.72812953117448,7679.823665431872,,,0.0026827238064550773,79.80514857594795,,,0.0026851404328446377,904.1469525633972,,,0.0026851404328446377,0.0,,,0.00101901079426454,592.16928026286,,,0.002684603404758069,130.52432603156632,,,0.08347296063584125,0.0,,,0.00407604317705816,0.0,,,0.002684603404758069,8311.210279454312,,,36.276784275817626,0.0,,,1.5556629611728694,8947.132240987412,,,0.0026851404328446377,15034.636016503493,,,0.34206003974007837,0.0,,,1.0,46499.98170435896,,,0.022236721980559582,4686.186467105293,,,0.0006522206111379625,4026.829025443507,,,3.8904,0.010446270339938779,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10101000,1.2747637192166466,79.45877983818949,988.5438364944922,0.0,1383.9962437952342,162.24516070324847,0.0,0.0,15702.644305908205,0.0,27.077946047068867,31571.464618056267,0.0,259.04486763394175,745.279525144734,17161.394136343944,0.0,2020-05-20,11219.81,0.9997,0.9991,0.9991,0.3813,0.9991,29.7,1.534,0.9993,15677.91,582.48,0.9991,127.2,385.94,9.2502,0.2508,29.071384152977146,14302.606724504123,,,0.002590299010208841,79.43494220423803,,,0.0025887443644089757,987.6541470416472,,,0.0025887443644089757,0.0,,,0.0009879774058143753,527.7177677591228,,,0.0025887443644089757,162.09914005861555,,,0.07695496709333056,0.0,,,0.0039747110949888585,0.0,,,0.002589262579675597,15691.652454894069,,,40.62266155360937,0.0,,,1.5092501425091984,15772.362013496673,,,0.0025887443644089757,31543.050299900016,,,0.329584909571436,0.0,,,1.0,99975.77621464348,,,0.023967974296522775,6893.984663493818,,,0.0006498419443436805,4304.077649395062,,,3.9041,0.010115821112089963,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10107500,1.2881226050550802,85.94759965566217,1113.4929777368418,0.0,1061.712123806544,442.7649054590906,0.0,0.0,19469.393550736837,0.0,28.64458854095107,32753.36300647985,0.0,289.82558354711216,820.0336066701853,17544.022132582046,0.0,2020-05-21,11191.97,0.9995,0.9995,0.9995,0.3976,0.9987,30.757,1.694,0.9984,14183.1,595.78,0.9995,131.91,389.61,9.8687,0.262,28.72608505941839,14416.629552098306,,,0.002565385898719232,85.90462585583435,,,0.002565385898719232,1112.9362312479734,,,0.002565385898719232,0.0,,,0.0010205076871743538,422.1367404254819,,,0.0025633325633325635,442.18931108199376,,,0.07894304560971228,0.0,,,0.004347937681271014,0.0,,,0.0025625625625625625,19438.242521055658,,,36.4033264033264,0.0,,,1.5291701958368624,17065.872960927827,,,0.002565385898719232,32736.98632497661,,,0.3385693385693386,0.0,,,1.0,112918.94560579037,,,0.025329688663021998,8092.665654146059,,,0.0006724673391340058,4596.5337987364965,,,3.7262,0.00956392289725623,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10114000,1.3355546739473692,90.89130433113671,1203.0736012691386,0.0,1156.2441909065708,502.60982588394586,0.0,0.0,24830.660957994023,0.0,31.46020195775017,65844.80275100064,0.0,470.42022767032483,970.1503334260104,17723.96278913121,0.0,2020-05-22,11744.91,0.9999,0.9989,0.9989,0.3974,0.9987,29.724,1.775,0.9984,18848.99,623.18,0.9989,134.85,400.72,9.5253,0.2575,29.30951786783789,15685.969445591196,,,0.002495258534637652,90.8822152007036,,,0.002492763026552206,1201.7502203077427,,,0.002492763026552206,0.0,,,0.0009917149131563184,459.4914414662712,,,0.0024922639249351165,501.95643311029676,,,0.07417648233180275,0.0,,,0.004429526851666999,0.0,,,0.0024915152725094826,24790.93190046123,,,47.03780694749451,0.0,,,1.5551507286883608,19605.368656030747,,,0.002492763026552206,65772.37346797454,,,0.3365192653224196,0.0,,,1.0,188506.79363205258,,,0.023770463166300656,9240.972970982777,,,0.0006425933320023956,4563.920418201286,,,3.319,0.008282591335595927,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10120500,1.4399344758261934,90.44403010975748,2015.7640928935116,0.0,1199.2863505368482,504.10466772666456,0.0,0.0,27805.900218673207,0.0,38.718603020004785,103497.48579382559,0.0,666.6367251704071,1623.2178837404845,18579.01271227769,0.0,2020-05-23,11762.46,1.0002,0.9992,0.9992,0.4131,0.997,28.122,1.642,0.997,27400.0,599.75,0.9992,136.86,394.77,10.2343,0.2588,29.795729158750664,16937.171674526566,,,0.0025336271753172734,90.46211891577943,,,0.0025310940547660665,2014.1514816191968,,,0.0025310940547660665,0.0,,,0.001046432099703625,495.425191406772,,,0.002525521189553411,502.59235372348456,,,0.07123641614104416,0.0,,,0.004159383945081947,0.0,,,0.002525521189553411,27722.482518017187,,,69.40750310307268,0.0,,,1.5192390505864175,23221.48216124787,,,0.0025310940547660665,103414.68780519052,,,0.34668287863819447,0.0,,,1.0,263168.1799955216,,,0.025924715657218128,16612.49878756524,,,0.0006555715986523798,4808.248489937466,,,2.7143,0.006875649112141248,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
